,trial_id,completion_date_india,completion_date_global,recruitment_status_india,recruitment_status_global,publication_details,secondary_ids
77,CTRI/2020/05/025343,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,Nil,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
78,CTRI/2020/05/025346,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,not yet.,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>Form CT-06, No. CT/BP/07/2020  </td>
<td>DCGI </td>
</tr>]"
79,CTRI/2020/05/025350,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,Results will be published in relevant open access peer-reviewed scientific journals.,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
80,CTRI/2020/05/025370,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
81,CTRI/2020/05/025385,17/08/2020,Date Missing,Completed,Not Applicable,Nil,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>Nil </td>
<td>NIL </td>
</tr>]"
82,CTRI/2020/05/025369,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>TCZ/COVID-19/01/2020 Version 2.0 dated 05 May 2020 </td>
<td>Protocol Number </td>
</tr>]"
83,CTRI/2020/05/025425,18/08/2020,Date Missing,Completed,Not Applicable,Under Process,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
84,CTRI/2020/05/025398,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>No </td>
<td>NIL </td>
</tr>]"
85,CTRI/2020/05/025397,19/08/2020,Date Missing,Completed,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>ICR/20/005; Version No. 1.0; Dated 01/MAY/2020 </td>
<td>Protocol Number </td>
</tr>]"
86,CTRI/2020/05/025429,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,"6.	Acharya YT, editor. Charaka Samhita (Ch. Chi. 3/). Varanasi: Chowkhamba Surbharati; 2000
7.	Peruski, A. H., & Peruski, L. F., Jr (2003). Immunological methods for detection and identification of infectious disease and biological warfare agents. Clinical and diagnostic laboratory immunology, 10(4), 506–513. https://doi.org/10.1128/cdli.10.4.506-513.2003
8.	KamWa Chan, Vivian Taam Wong, and Sydney Chi Wai Tang, COVID-19: An Update on the Epidemiological, Clinical, Preventive and Therapeutic Evidence and Guidelines of Integrative Chinese–Western Medicine for the Management of 2019 Novel Coronavirus Disease, The American Journal of Chinese Medicine, Vol. 48, No. 3, 1–26 , Published 13 March 2020, DOI: 10.1142/S0192415X20500378","[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
87,CTRI/2020/05/025434,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,No publications done so far,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
88,CTRI/2020/05/025483,30/06/2020,Date Missing,Completed,Not Applicable,Under publication process,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
89,CTRI/2020/05/025485,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
90,CTRI/2020/05/025484,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
91,CTRI/2020/05/025490,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>U1111-1252-7438 </td>
<td>UTN </td>
</tr>]"
92,CTRI/2020/05/025488,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,NOT YET DONE,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIA-CVD-19/2020/01 Version 1.0 Dated 20th May 2020 </td>
<td>Protocol Number </td>
</tr>]"
93,CTRI/2020/05/025491,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,nil,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>Nil </td>
<td>NIL </td>
</tr>]"
94,CTRI/2020/05/025489,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,NA,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
95,CTRI/2020/05/025492,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>Not registered in other registries </td>
<td>NIL </td>
</tr>]"
96,CTRI/2020/05/025496,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,nil,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
97,CTRI/2020/06/025523,21/08/2020,Date Missing,Completed,Not Applicable,,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
98,CTRI/2020/06/025522,Date Missing,Date Missing,Completed,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
99,CTRI/2020/06/025527,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Closed to Recruitment of Participants,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>CT/Vopec/Amrta Karuna /2020 version 1.0 dated 24th Apr 2020 </td>
<td>Protocol Number </td>
</tr>]"
100,CTRI/2020/06/025557,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>AYUSH-CSIR-TRT-01 </td>
<td>Protocol Number </td>
</tr>]"
101,CTRI/2020/06/025530,28/10/2020,Date Missing,Completed,Not Applicable,To be published in the Annual Report of Cancer Aid Society,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
102,CTRI/2020/06/025556,21/08/2020,Date Missing,Completed,Not Applicable,Nil,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>PHAR/CT/VIRULINA/COVID/10052020 Version 01 dated 11 May 2020 </td>
<td>Protocol Number </td>
</tr>]"
103,CTRI/2020/06/025558,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,Publication of Results in a Peer-reviewed scientific journal or presentation at a scientific Congress.,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
104,CTRI/2020/06/025575,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Open to Recruitment,Nil,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
105,CTRI/2020/06/025590,28/09/2020,Date Missing,Completed,Not Applicable,Nil,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>DAL/CT/001/AST/2020 Version No. 1.0, dated 23rd April 2020 </td>
<td>Protocol Number </td>
</tr>]"
106,CTRI/2020/06/025589,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,nil,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>not applicable </td>
<td>ClinicalTrials.gov </td>
</tr>]"
107,CTRI/2020/06/025613,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,Nil,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
108,CTRI/2020/06/025637,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
109,CTRI/2020/06/025625,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
110,CTRI/2020/06/025664,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>CVD-19-CD-002, Version 5.0, 22 July 2020 </td>
<td>Protocol Number </td>
</tr>]"
111,CTRI/2020/06/025650,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,"The recorded data, after analysis, may be published by sponsor or with the investigators consent in peer reviewed scientific journals without revealing the identity of any subject.","[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
112,CTRI/2020/06/025672,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,"The recorded data, after analysis, may be published by sponsor or with the investigators consent in peer reviewed scientific journals without revealing the identity of any subject.","[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
113,CTRI/2020/06/025671,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
114,CTRI/2020/06/025702,Date Missing,Date Missing,Completed,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>Protocol Version 1.0 Dated 9th Apr 2020 </td>
<td>Protocol Number </td>
</tr>]"
115,CTRI/2020/06/025704,07/11/2020,Date Missing,Completed,Not Applicable,NIL.,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>BSV_ULINA_20_03_IN  ver 02/19-May-2020 </td>
<td>Protocol Number </td>
</tr>]"
116,CTRI/2020/06/025714,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,Not Applicable,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
117,CTRI/2020/06/025763,Date Missing,Date Missing,Completed,Not Applicable,Nil,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
118,CTRI/2020/06/025766,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,"https://pubmed.ncbi.nlm.nih.gov/29732571/
https://pubmed.ncbi.nlm.nih.gov/31930543/","[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
119,CTRI/2020/06/025760,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,Nil at present,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
120,CTRI/2020/06/025768,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
121,CTRI/2020/06/025762,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,Not yet,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
122,CTRI/2020/06/025769,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,Not yet,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
123,CTRI/2020/06/025801,25/08/2020,Date Missing,Completed,Not Applicable,Nil,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>HDC/CP/PP/037/2020 Version 1.0 Dated 07 May 2020  </td>
<td>Protocol Number </td>
</tr>]"
124,CTRI/2020/06/025796,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,None yet,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
125,CTRI/2020/06/025798,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
126,CTRI/2020/06/025779,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,nil,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
127,CTRI/2020/06/025799,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>CP/04/20, Version No. 1.0, dated 02/May/2020 </td>
<td>Protocol Number </td>
</tr>]"
128,CTRI/2020/06/025800,30/06/2020,Date Missing,Completed,Closed to Recruitment of Participants,The outcome of the Study will be published in International peer reviewed Journal.,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
129,CTRI/2020/06/025804,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
130,CTRI/2020/06/025803,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,None Yet,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>COPLA Trial-II/ILBS/2020 dated 24.05.2020 </td>
<td>NIL </td>
</tr>]"
131,CTRI/2020/06/025849,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>CVD-19-CD-001; Version 4.0; 14 July 2020  </td>
<td>Protocol Number </td>
</tr>]"
132,CTRI/2020/06/025852,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,none,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
133,CTRI/2020/06/025844,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,None yet.,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
134,CTRI/2020/06/025854,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,Nil,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>Version 3.2, 17/05/2020 </td>
<td>Protocol Number </td>
</tr>]"
135,CTRI/2020/06/025856,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,Nil,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
136,CTRI/2020/06/025855,13/08/2020,Date Missing,Completed,Not Applicable,not yet,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
137,CTRI/2020/06/025861,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
138,CTRI/2020/06/025862,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>LDRT-Covid-19 </td>
<td>Other </td>
</tr>]"
139,CTRI/2020/06/025874,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
140,CTRI/2020/06/025927,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,Nill,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
141,CTRI/2020/06/025928,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
142,CTRI/2020/06/025917,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,None so far,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
143,CTRI/2020/06/025957,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>GPL/CT/2020/004/III, Version:4.0, Dated:03-Jun-2020 </td>
<td>Protocol Number </td>
</tr>]"
144,CTRI/2020/06/025977,28/11/2020,Date Missing,Completed,Not Applicable,No any publication planned yet.,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>ARL/CSP/2020/003-00, Ver 00, Dt 01-06-2020 </td>
<td>Protocol Number </td>
</tr>]"
145,CTRI/2020/06/025996,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Closed to Recruitment of Participants,Not Applicable,Not yet,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
146,CTRI/2020/06/025998,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,"1. Raj kumar, Ramakant Yadav, Ramakant Rawat, Prashant Kumar Bajpai, Indra Kumar Sharma, Sushil Kumar, Prashant Yadav. Role of Raj Nirvan Bati in treatment of COVID19 RT-PCR positive cases. IJSRM June 2020; Accepted for publication
2. 1. Raj kumar, Ramakant Yadav, Ramakant Rawat, Prashant Kumar Bajpai, Indra Kumar Sharma, Sushil Kumar, Prashant Yadav. Raj Nirvan Bati (A novel ayurvedic preparation) in RT PCR positive COVID19 cases: An interventional study. IJMSCR June 2020;3(3)","[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
147,CTRI/2020/06/026001,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Open to Recruitment,Not Applicable,Nil,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
148,CTRI/2020/06/025999,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>MHC/CT/20-21/003 Ver. 2.0 dated, Dated 3rd June 2020 </td>
<td>Protocol Number </td>
</tr>]"
149,CTRI/2020/06/026002,Applicable only for Completed/Terminated trials,Applicable only for Completed/Terminated trials,Not Yet Recruiting,Not Applicable,NIL,"[<tr bgcolor=""#004080"">
<td><font color=""white""><b>Secondary ID </b></font></td>
<td><font color=""white""><b>Identifier </b></font></td>
</tr>, <tr>
<td>NIL </td>
<td>NIL </td>
</tr>]"
