,interventions,counts
412,Dimethyl Fumarate;Emtricitabine;Lopinavir;Ritonavir;Tenofovir,1
414,adalimumab,1
369,RPH-104,1
415,Recombinant human granulocyte colony-stimulating factor (rhG-CSF),1
416,Tranilast,1
417,Hydroxychloroquine;Umifenovir,1
418,ASC09F;Oseltamivir,1
419,Oseltamivir;Ritonavir,1
420,PD-1 blocking antibody,1
423,Captopril,1
424,Camostat mesylate;Hydroxychloroquine,1
401,Flow controlled ventilation,1
400,Autologous Non-Hematopoietic Peripheral Blood Stem Cells (NHPBSC),1
399,Ketogenic diet,1
398,Life2000 Ventilator,1
370,Olokizumab,1
372,Azithromycin;Ivermectin;Vitamin D3 (Cholecalciferol),1
374,prasugrel hydrochloride,1
375,Bivalirudin,1
376,Mucodentol;Personal protective equipment (PPE),1
377,Hydroxychloroquine;Personal protective equipment (PPE),1
378,Mu,1
379,RIPK1 Inhibitor,1
380,co-trimoxazole,1
381,Unisabana-Herons Ventilator,1
382,Emtricitabine;Personal protective equipment (PPE);Tenofovir,1
385,cetylpyridinium chloride (CPC);chlorhexidine (CHX),1
386,Aerosolized 13 cis retinoic acid;testosterone,1
387,Emapalumab,1
389,Chloroquine;Zinc,1
391,UV Light Device,1
392,NK-1R antagonist (Unspecified),1
891,VIR-7832,1
