index,trialid,source_register,date_registration,date_enrollement,retrospective_registration,normed_spon_names,recruitment_status,phase,study_type,countries,public_title,study_category,intervention,intervention_list,target_enrollment,web_address,cross_registrations
1611,ChiCTR2000039079,ChiCTR,2020-10-16,2020-01-13,True,"Ningcheng Center Hospital,",Recruiting,Not Applicable,Observational,No Country Given,Stress and neuropsychiatric symptoms/disorders (i.e. functional brain diseases): COVID-19 as a source of stress,Other (psych),Psychological,Psychological,400,http://www.chictr.org.cn/showproj.aspx?proj=62482,None
1612,ChiCTR2000039000,ChiCTR,2020-10-13,2020-09-02,True,China National Biotec Group Co. Ltd,Recruiting,Phase 3,Interventional,Morocco,A Phase III clinical trial for inactivated novel coronavirus pneumonia (COVID-19) vaccine (Vero cells),ATMP,Vaccine,Vaccine,600,http://www.chictr.org.cn/showproj.aspx?proj=62581,None
1613,ChiCTR2000038943,ChiCTR,2020-10-10,2020-01-17,True,Xiangya Hospital of Central South University,Recruiting,Not Applicable,Observational,China,Outcomes of and Prognosis Factors for COVID-19 Patients: An Observational Study,Prognosis,No Intervention,No Intervention,233,http://www.chictr.org.cn/showproj.aspx?proj=61717,None
1614,ChiCTR2000038866,ChiCTR,2020-10-07,2020-10-15,False,Sun Yat-Sen University,Not Recruiting,Not Applicable,Interventional,China,A mHealth-based randomized controlled trial for improving mental health among people living with HIV during the COVID-19 outbreak,Other (psych),Psychological,Psychological,120,http://www.chictr.org.cn/showproj.aspx?proj=61662,None
1615,ChiCTR2000038864,ChiCTR,2020-10-07,2020-10-19,False,No Sponsor Name Given,Recruiting,Not Applicable,Observational,China,"Study on the risk perception, mental health, and behavioural responses of university students in Hong Kong in COVID-19 pandemic",Other (psych),No Intervention,No Intervention,600,http://www.chictr.org.cn/showproj.aspx?proj=62357,None
1616,ChiCTR2000038827,ChiCTR,2020-10-05,2020-11-02,False,The Hong Kong Jockey Club Charities Trust,Not Recruiting,Not Applicable,Interventional,China,Online multicomponent health intervention to support children with special education needs (SEN) and their families during COVID-19 pandemic,Other (software),eHealth,eHealth,1500,http://www.chictr.org.cn/showproj.aspx?proj=61884,None
1617,ChiCTR2000038740,ChiCTR,2020-09-30,2020-08-01,True,"Beijing University of Chinese Medicine, Third Affiliated Hospital",Not Recruiting,Not Applicable,Interventional,China,Study on Traditional Chinese Medicine Intervention Program for the Sequela of novel coronavirus pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,200,http://www.chictr.org.cn/showproj.aspx?proj=62250,None
1618,ChiCTR2000038739,ChiCTR,2020-09-30,2020-08-01,True,"Beijing University of Chinese Medicine, Third Affiliated Hospital",Not Recruiting,Not Applicable,Observational,China,Analysis on the Distribution of TCM Syndromes in convalescent novel coronavirus pneumonia (COVID-19) patients,Traditional Medicine (Other),Traditional Medicine,Traditional Medicine,800,http://www.chictr.org.cn/showproj.aspx?proj=62287,None
1619,ChiCTR2000038471,ChiCTR,2020-09-23,2020-09-25,False,The First Affiliated Hospital of University of Science and Technology of China (Anhui Provincial Hospital),Recruiting,Not Applicable,Observational,China,A study of neurological damage in patients recovering from novel coronavirus pneumonia (COVID-19),Clinical Presentation,No Intervention,No Intervention,160,http://www.chictr.org.cn/showproj.aspx?proj=61958,None
1620,ChiCTR2000037782,ChiCTR,2020-09-01,2020-09-01,False,Jiangsu Provincial Center for Disease Control and Prevention,Not Recruiting,Phase 1,Interventional,China,A Phase I Clinical Trial of Influenza virus Vector COVID-19 Vaccine for intranasal Spray (DelNS1-2019-nCoV-RBD-OPT1),ATMP,Vaccine,Vaccine,60,http://www.chictr.org.cn/showproj.aspx?proj=55421,None
1621,ChiCTR2000037524,ChiCTR,2020-08-29,2020-08-29,False,Chinese Academy of Medical Sciences,Not Recruiting,Not Applicable,Interventional,China,Effects of an online mindfulness-based intervention on quality of life and psychological symptoms in novel coronavirus pneumonia (COVID-19) patients in China: a randomized controlled trial,Other (psych),Psychological,Psychological,1600,http://www.chictr.org.cn/showproj.aspx?proj=60034,None
1622,ChiCTR2000037518,ChiCTR,2020-08-28,2020-08-28,False,West China Hospital of Sichuan University,Not Recruiting,Phase 1,Interventional,China,"Randomized double blind, placebo controlled phase I trial for anti novel coronavirus pneumonia (COVID-19) recombinant vaccine (Sf9)",ATMP,Vaccine,Vaccine,168,http://www.chictr.org.cn/showproj.aspx?proj=60581,None
1623,ChiCTR2000037342,ChiCTR,2020-08-28,2020-10-01,False,Shanghai Traditional Chinese Medicine Hospital,Recruiting,Not Applicable,Observational,China,A medical records based research on the establishment of a precise treatment system for novel coronavirus pneumonia (COVID-19) from the perspective of ''damp-and-heat epidemic'',Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,300,http://www.chictr.org.cn/showproj.aspx?proj=60400,None
1624,ChiCTR2000037078,ChiCTR,2020-08-26,2020-10-01,False,Shanghai First People's Hospital,Recruiting,Not Applicable,Observational,China,The technical specification of precise drug therapy and the systematic study of novel Coronavirus inactivation procedure for biological samples,Clinical Presentation,No Intervention,No Intervention,200,http://www.chictr.org.cn/showproj.aspx?proj=60149,None
1625,ChiCTR2000036871,ChiCTR,2020-08-25,2020-09-01,False,Beijing Hospital of Traditional Chinese Medicine,Not Recruiting,Phase 4,Interventional,Pakistan,"Multi-center, Randomized, Double Blind and Placebo Controlled Clinical Trial on the Efficacy and Safety of Jinhua Qinggan Granules (JHQG) for the Treatment of COVID-19 Patients.",Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,300,http://www.chictr.org.cn/showproj.aspx?proj=55984,None
1626,ChiCTR2000036849,ChiCTR,2020-08-25,2020-10-01,False,Huashan Hospital; Fudan Universtiy,Not Recruiting,Not Applicable,Diagnostic test,China,Establishment of imaging diagnostic models for novel coronavirus pneumonia (COVID-19) and related brain injury based on artificial intelligence,Diagnostics,Diagnostic Test or Assessment,Diagnostic Test or Assessment,2000,http://www.chictr.org.cn/showproj.aspx?proj=59903,None
1627,ChiCTR2000036661,ChiCTR,2020-08-24,2020-10-30,False,Shanghai Public Health Clinical Center,Not Recruiting,Not Applicable,Diagnostic test,China,Application of IL-18/IL-18BP in diagnosis and treatment of novel coronavirus pneumonia (COVID-19),Drug,IL-18BP,IL-18BP,30,http://www.chictr.org.cn/showproj.aspx?proj=59797,None
1628,ChiCTR2000036333,ChiCTR,2020-08-22,2020-02-01,True,The Second Xiangya Hospital of Central South University,Not Recruiting,Not Applicable,Interventional,China,Using Mindfulness to Reduce Anxiety and Depression of Patient with Fever Undergoing Screening in an Isolation Ward During novel coronavirus pneumonia (COVID-19) pandemic,Other (psych),Psychological,Psychological,51,http://www.chictr.org.cn/showproj.aspx?proj=57115,None
1629,ChiCTR2000036217,ChiCTR,2020-08-21,2020-10-01,False,Shanghai Public Health Clinical Center,Not Recruiting,Not Applicable,Diagnostic test,China,Multi-center study on intelligent accurate diagnosis and critical illness prediction of novel coronavirus pneumonia (COVID-19) with multimodal imaging,Diagnostics,Diagnostic Test or Assessment,Diagnostic Test or Assessment,1000,http://www.chictr.org.cn/showproj.aspx?proj=59358,None
1630,IRCT20100623004251N13,IRCT,2020-04-04,2019-10-23,True,Iran University of Medical Sciences,Not Recruiting,Not Applicable,Interventional,Iran,Comparison of the Effect of Types of Orthosis and Back School Program on Physical Fitness and Respiratory Capacity of Elderly with Thoracic Kyphosis,Not relevant,Not relevant,Not relevant,60,http://en.irct.ir/trial/42393,None
1631,IRCT20200324046850N5,IRCT,2020-04-04,2020-10-17,False,Abadan University of Medical Sciences,Recruiting,Phase 2,Interventional,Iran,Effectiveness of vitamin C on the improvement process of patients with COVID-19,Drug,Vitamin C w or w/o Hydroxychloroquine or Chloroquine + Lopinavir/Ritonavir,Vitamin C; Hydroxychloroquine; Chloroquine; Lopinavir/Ritonavir,400,http://en.irct.ir/trial/46751,None
1632,IRCT20200414047072N1,IRCT,2020-04-28,2020-04-14,True,Hilton Pharma Pvt. Ltd.,Recruiting,Not Applicable,Interventional,Pakistan,Use of Convalescent Plasma in the treatment of COVID-19,ATMP,Plasma,Plasma,357,http://en.irct.ir/trial/47163,None
1633,IRCT20080901001165N59,IRCT,2020-05-27,2020-05-25,True,Niwasha Company,Not Recruiting,Phase 3,Interventional,Iran,Investigating the efficacy and safety of Niwasha mouthwash in controlling the symptoms of patients with COVID-19,Drug,Mouthwash,Mouthwash,80,http://en.irct.ir/trial/47477,None
1634,IRCT20200328046885N1,IRCT,2020-10-12,2020-07-19,True,Iran University of Medical Sciences,Not Recruiting,Phase 3,Interventional,Iran,Comparison of the effectiveness of two treatment regimens in patients with COVID-19,Drug,Hydroxychloroquine + Sofosbuvir/daclatsivir vs. Hydroxychloroquine + lopinavir/ritonavir,Hydroxychloroquine; Sofosbuvir/daclatsivir; Lopinavir/ritonavir,300,http://en.irct.ir/trial/47565,None
1635,IRCT20170731035423N2,IRCT,2020-06-12,2020-05-21,True,Shahid Beheshti University of Medical Sciences,Recruiting,Phase 3,Interventional,Iran,Effect of the combination of BCc1 & Hep-S on hospitalized COVID-19 patients,Drug,BCc1 vs. Hep-S vs. BCc1 + Hep-S,BCc1; Hep-S,120,http://en.irct.ir/trial/48049,None
1636,IRCT20200531047619N1,IRCT,2020-10-18,2020-08-21,True,Iran University of Medical Sciences,Recruiting,Phase 3,Interventional,Iran,Evaluation of the effect of Tofacitinib in covid-19 patients,Drug,Tofacitinib,Tofacitinib,10,http://en.irct.ir/trial/48766,None
1637,IRCT20200516047462N2,IRCT,2020-07-17,2020-07-08,True,Kashan University of Medical Sciences,Not Recruiting,Phase 2,Interventional,Iran,The effect of hyoscyamus niger with propolis on covid-19,Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,90,http://en.irct.ir/trial/49628,None
1638,IRCT20200802048267N1,IRCT,2020-10-20,2020-08-22,True,Esfahan University of Medical Sciences,Recruiting,Phase 2,Interventional,Iran,Propolis supplementation AND Coronavirus,Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,80,http://en.irct.ir/trial/50162,None
1639,IRCT20200816048422N1,IRCT,2020-10-16,2020-06-25,True,Ahvaz University of Medical Sciences,Not Recruiting,Phase 1/Phase 2,Interventional,Iran,Efficacy of Daclatasvir+Sofosbuvir in patients with severe acute respiratory syndrome coronavirus (SARS-COVID-19),Drug,Sofosbuvir/daclatsivir,Sofosbuvir/daclatsivir,70,http://en.irct.ir/trial/50363,None
1640,IRCT20150808023559N23,IRCT,2020-10-11,2020-09-20,True,Ardabil University of Medical Sciences,Recruiting,Phase 2,Interventional,Iran,Effectiveness of favipiravir in comparison with Tenofovir Alafenamid in patients with COVID-19,Drug,Favipiravir vs. Tenofovir alafenamid,Favipiravir; Tenofovir alafenamid,100,http://en.irct.ir/trial/50405,None
1641,IRCT20200825048514N1,IRCT,2020-10-10,2020-05-04,True,Yazd Shahid Sadoughi University of Medical Sciences,Not Recruiting,Phase 3,Interventional,Iran,Effect of ÃŸ-interferon and methylprednisolone in COVID-19,Drug,Interferon beta + Lopinavir/ritonavir + naproxen + hydroxychloroquine + corticosteroids vs. Interferon beta + Lopinavir/ritonavir + naproxen + hydroxychloroquine ,Interferon beta; Lopinavir/ritonavir; naproxen; hydroxychloroquine; methylprednisolone,60,http://en.irct.ir/trial/50543,None
1642,IRCT20200328046886N2,IRCT,2020-10-12,2020-08-22,True,Mazandaran University of Medical Sciences,Recruiting,Phase 3,Interventional,Iran,Evaluation of the efficacy and safety of Atazanavir/Ritonavir plus Hydroxychloroquine regimen in patients with moderate COVID-19,Drug,Hydroxychloroquine + Atazanavir/ritonavir vs. Hydroxychlroquine + Lopinavir/ritonavir,Atazanavir/ritonavir; Hydroxychlroquine; Lopinavir/ritonavir,120,http://en.irct.ir/trial/50980,None
1643,IRCT20080901001165N63,IRCT,2020-10-22,2020-07-22,True,Bagheiat-allah University of Medical Sciences,Not Recruiting,Phase 3,Interventional,Iran,Investigating the efficacy and safety of Myrtus nasal spray in controlling the symptoms of patients with mild  COVID-19,Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,100,http://en.irct.ir/trial/51157,None
1644,IRCT20100228003449N31,IRCT,2020-10-08,2020-09-26,True,Tehran University of Medical Sciences,Recruiting,Phase 2/Phase 3,Interventional,Iran,Corticosteroids in COVID-19,Drug,Corticosteroids,Dexamethasone,119,http://en.irct.ir/trial/51163,None
1645,IRCT20200923048815N1,IRCT,2020-10-15,2020-10-22,False,Esfahan University of Medical Sciences,Recruiting,Phase 2/Phase 3,Interventional,Iran,The effect of synbiotic on inflammatory markers and clinical manifestations in patients with C0VID-19,Supplement,Probiotics,Probiotics,80,http://en.irct.ir/trial/51166,None
1646,IRCT20200922048804N1,IRCT,2020-10-06,2020-08-05,True,Tehran University of Medical Sciences,Not Recruiting,Not Applicable,Interventional,Iran,Melatonin in COVID-19,Drug,Melatonin,Melatonin,20,http://en.irct.ir/trial/51177,None
1647,IRCT20200404046937N5,IRCT,2020-10-14,2020-09-27,True,Ahvaz University of Medical Sciences,Not Recruiting,Phase 2/Phase 3,Interventional,Iran,Effect of remdesivir in COVID-19,Drug,Remdesivir,Remdesivir,50,http://en.irct.ir/trial/51178,None
1648,IRCT20200928048867N1,IRCT,2020-10-22,2020-10-01,True,Mashhad University of Medical Sciences,Recruiting,Not Applicable,Interventional,Iran,Evaluation of short term outcomes of liver transplantation from COVID-19 positive deceased donors,Clinical Presentation,No Intervention,No Intervention,10,http://en.irct.ir/trial/51319,None
1649,IRCT20201003048904N1,IRCT,2020-10-11,2020-10-11,False,Boushehr University of Medical Sciences,Recruiting,Not Applicable,Interventional,Iran,Effect of Blood Transfusion in Covid-19,Procedure,Blood transfusion,Blood transfusion,40,http://en.irct.ir/trial/51364,None
1650,IRCT20201003048905N1,IRCT,2020-10-07,2020-05-23,True,Larestan University of Medical Sciences,Not Recruiting,Not Applicable,Interventional,Iran,Effect of spiritual care based on Ghalbe Salim on anxiety related to COVID-19 (corona phobia),Traditional Medicine (Other),Traditional Medicine,Traditional Medicine,14,http://en.irct.ir/trial/51394,None
1651,IRCT20201004048922N1,IRCT,2020-10-10,2020-10-11,False,Tehran University of Medical Sciences,Recruiting,Phase 3,Interventional,Iran,Evaluation of the effectiveness of intravenous infusion of human COVID-19 hyperimmune plasma with specific antibody titer in hospitalized patients with Covid-19: a randomized clinical trial,ATMP,Plasma,Plasma,75,http://en.irct.ir/trial/51443,None
1652,IRCT20201005048936N1,IRCT,2020-10-26,2020-10-31,False,Dr. Abidi Pharmacutical Co.,Recruiting,Phase 3,Interventional,Iran,The evaluation of efficacy of Favipiravir in patients with mild to moderate COVID-19,Drug,Favipiravir vs. Hydroxychloroquine,Favipiravir; Hydroxychloroquine,126,http://en.irct.ir/trial/51499,None
1653,IRCT20181208041886N1,IRCT,2020-10-18,2020-10-22,False,Esfahan University of Medical Sciences,Recruiting,Not Applicable,Interventional,Iran,Levamizole in treatment of COVID19.,Drug,Levamizole,Levamizole,60,http://en.irct.ir/trial/51501,None
1654,IRCT20200128046294N3,IRCT,2020-10-22,2020-10-24,False,Tehran University of Medical Sciences,Recruiting,Phase 1/Phase 2,Interventional,Iran,Safety of Sofosbuvir /Daclatasvir in outpatients with COVID-19,Drug,Sofosbuvir/daclatsivir,Sofosbuvir/daclatsivir,50,http://en.irct.ir/trial/51585,None
1655,IRCT20200930048892N1,IRCT,2020-10-18,2020-10-20,False,Shiraz University of Medical Sciences,Recruiting,Not Applicable,Interventional,Iran,evaluation the effect of virtual pulmonary rehabilitaion on covid 19 patients,Other (physio),Physio & Rehabilitation,Physio & Rehabilitation,70,http://en.irct.ir/trial/51595,None
1656,EUCTR2020-002122-82-DE,EU Clinical Trials Register,2020-05-07,2020-12-06,False,"University Hospital, Erlangen",Authorised,Phase 2,Interventional,Germany,Clinical study for the Evaluation of efficacy and safety of a Treatment with Plasma gained from patients who recovered from COVID-19 infection and given to patients who are currently suffering from a severe COVID-19 infection,ATMP,Plasma,Plasma,58,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002122-82,None
1657,EUCTR2020-001936-86-DE,EU Clinical Trials Register,2020-08-20,2020-10-19,False,Hannover Medical School,Authorised,Phase 2,Interventional,Germany,Clinical trial to evaluate superiority of anti-SARS-CoV-2 convalescent plasma versus standard-of-care in hospitalized patients with mild COVID-19,ATMP,Plasma,Plasma,340,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001936-86,None
1658,EUCTR2020-001782-37-SK,EU Clinical Trials Register,2020-06-15,2020-07-11,False,NPO Petrovax,Authorised,Phase 2/Phase 3,Interventional,"Slovakia, Russian Federation, Italy, France, Poland, Brazil, Romania","A multi-centre, adaptive, randomized, double-blind, placebo-controlled comparative clinical study of the safety and efficacy of 12 mg PolyoxidoniumÂ®, lyophilizate solution for injections (NPO Petrovax Pharm LLC, Russia) in patients with coronavirus disease (COVID-19).",Drug,Azoximer bromide,Azoximer bromide,464,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001782-37,None
1659,ACTRN12620000445976,ANZCTR,2020-04-06,2020-07-28,False,University of Melbourne,Recruiting,Phase 3,Interventional,"New Zealand, Australia, India","Australasian COVID-19 Trial (ASCOT). A multi-centre randomised clinical trial to assess clinical, virological and immunological outcomes in patients with SARS-CoV-2 infection (COVID-19).",Drug,Lopinavir/ritonavir + hydroxychloroquine vs. lopinavir/ritonavir vs. hydroxychloroquine,Lopinavir/ritonavir; hydroxychloroquine,2500,https://anzctr.org.au/ACTRN12620000445976.aspx,None
1660,ACTRN12620001193965,ANZCTR,2020-11-10,2020-05-29,True,Epworth HealthCare,Recruiting,Not Applicable,Observational,Australia,"The adequacy of user seal checking for N95 respirators compared to formal fit testing, a multicentred observational study",Other (device),Masks,Masks,150,https://anzctr.org.au/ACTRN12620001193965.aspx,None
1661,ACTRN12620001167954,ANZCTR,2020-11-06,2020-11-27,False,Melanoma Institute Australia,Not Recruiting,Not Applicable,Observational,Australia,Melanoma Patientsâ€™ and Cliniciansâ€™ Satisfaction with Telehealth During COVID-19,Telehealth,No Intervention,No Intervention,100,https://anzctr.org.au/ACTRN12620001167954.aspx,None
1662,ISRCTN25647404,ISRCTN,2020-11-09,2020-09-20,True,Cardiff University,Recruiting,Not Applicable,Interventional,United Kingdom,Measurement of the effect of mouthwash against COVID-19,Drug,Cetylperidium chloride vs. povidone iodine vs. Cetylperidium chloride,Cetylperidium chloride; povidone iodine; Cetylperidium chlorid,104,http://isrctn.com/ISRCTN25647404,None
1663,ISRCTN63911163,ISRCTN,2020-11-05,2020-05-15,True,University of Birmingham,Recruiting,Not Applicable,Observational,United Kingdom,Analysis of the immunological response to coronavirus infection,Clinical Presentation,No Intervention,No Intervention,600,http://isrctn.com/ISRCTN63911163,None
1664,ISRCTN79623250,ISRCTN,2020-11-04,2020-04-30,True,Coventry University,Not Recruiting,Not Applicable,Interventional,United Kingdom,The digital Hope programme for people living with cancer during COVID-19,Other (psych),Psychological,Psychological,40,http://isrctn.com/ISRCTN79623250,None
1665,ISRCTN16865246,ISRCTN,2020-11-02,2020-10-22,True,University of Concepción,Recruiting,Not Applicable,Observational,Chile,One year follow-ups of Chilean patients with COVID-19,Clinical Presentation,No Intervention,No Intervention,250,http://isrctn.com/ISRCTN16865246,None
1666,ISRCTN13953727,ISRCTN,2020-11-02,2020-01-10,True,Imperial College London,Recruiting,Not Applicable,Observational,United Kingdom,Assessing patientsâ€™ risk of COVID-19 severe infection: developing a risk prediction score,Clinical Presentation,No Intervention,No Intervention,2870,http://isrctn.com/ISRCTN13953727,None
1667,ISRCTN66141262,ISRCTN,2020-10-22,2020-01-01,True,NHS Greater Glasgow and Clyde,Recruiting,Not Applicable,Observational,United Kingdom,"ASTERIX: An observational study to identify sub-groups of COVID-19 patients based on their demographic, clinical and laboratory profile, and to determine if these sub-groups can be used to predict severity of disease and response to therapy",Clinical Presentation,No Intervention,No Intervention,600,http://isrctn.com/ISRCTN66141262,None
1668,ISRCTN82901740,ISRCTN,2020-10-13,2020-11-16,False,University of Bristol,Recruiting,Not Applicable,Observational,United Kingdom,COVID-19 testing and infection control in schools,Clinical Presentation (Epidemiology),No Intervention,No Intervention,6000,http://isrctn.com/ISRCTN82901740,None
1669,ISRCTN51287266,ISRCTN,2019-12-06,2019-12-13,False,St. George's University Hospitals NHS Foundation Trust,Recruiting,Not Applicable,Observational,United Kingdom,Aspergillosis in patients with severe influenza or coronavirus infection,Not relevant,Not relevant,Not relevant,180,http://isrctn.com/ISRCTN51287266,None
1670,ISRCTN75313566,ISRCTN,2017-06-27,2017-09-25,False,University of Manchester,Recruiting,Not Applicable,Interventional,United Kingdom,PRedSS: Prednisolone in early diffuse systemic sclerosis,Not relevant,Not relevant,Not relevant,72,http://isrctn.com/ISRCTN75313566,None
1671,EUCTR2020-001891-14-ES,EU Clinical Trials Register,2020-05-05,2020-04-05,True,Fundación Neumosur,Authorised,Phase 2,Interventional,Spain,"Impact of the use of low molecular weight heparins (LMWH), at prophylactic versus intermediate doses, on SARS-CoV2 infection (COVID-19)",Drug,Heparin,Heparin,140,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001891-14,None
1672,EUCTR2020-002032-69-ES,EU Clinical Trials Register,2020-05-05,2020-04-05,True,Fundación para la Investigación Biomédica Hospital Ramón y Cajal,Authorised,Phase 2,Interventional,Spain,Clinical trial on the efficacy of tocilizumab in modifying the inflammatory parameters of patients with COVID-19,Drug,Tocilizumab,Tocilizumab,78,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002032-69,None
1673,EUCTR2020-001603-16-ES,EU Clinical Trials Register,2020-05-08,2020-06-05,False,Instituto de Investigación Marqués de Valdecilla (IDIVAL),Authorised,Phase 3,Interventional,Spain,Ensayo clÃ­nico aleatorizado para investigar la eficacia de la administraciÃ³n anticipada de la colchicina en pacientes mayores de 70 aÃ±os y de alto riesgo en tener complicaciones pulmonares como neumonÃ­a asociada al coronavirus.,Drug,Colchicine,Colchicine,1024,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001603-16,None
1674,EUCTR2020-001994-66-ES,EU Clinical Trials Register,2020-05-08,2020-06-05,False,Fundació Assistencial Mútua Terrassa,Authorised,Phase 3,Interventional,Spain,Study of the efficacy of ivermectin in the treatment and prevention of COVID-19,Drug,Ivermectin,Ivermectin,266,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001994-66,None
1675,EUCTR2020-001934-37-ES,EU Clinical Trials Register,2020-05-08,2020-07-05,False,Instituto de Investigación Marqués de Valdecilla (IDIVAL),Authorised,Phase 4,Interventional,Spain,USE OF CORTICOSTEROIDS IN PATIENTS WITH SARS-COV2 CORONAVIRUS INFECTION,Drug,Corticosteroids,Methylprednisolone,200,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001934-37,None
1676,EUCTR2020-002123-11-ES,EU Clinical Trials Register,2020-05-08,2020-07-05,False,Tatiana Cobo-Ibáñez,Authorised,Phase 4,Interventional,Spain,CLINICAL STUDY IN WHICH PATIENTS ARE RANDOMIZED TO RECEIVE HYDROXYCHLOROQUINE VS. CYCLOSPORINE - HYDROXYCHLOROQUINE TO COMPARE THEIR EFFICACY IN THE TREATMENT OF COVID-19 PNEUMONIA.,Drug,Hydroxychloroquine vs. Hydroxychloroquine + Cyclosporine,Hydroxychloroquine; Cyclosporine,280,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002123-11,None
1677,EUCTR2020-001474-29-ES,EU Clinical Trials Register,2020-05-08,2020-07-05,False,Clínica Universidad de Navarra,Authorised,Phase 2,Interventional,Spain,Pilot study to evaluate the potential of ivermectin to reduce COVID-19 transmission,Drug,Ivermectin,Ivermectin,24,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001474-29,None
1678,EUCTR2020-002472-12-NL,EU Clinical Trials Register,2020-05-14,2020-11-06,False,Radboud University Medical Centre,Authorised,Phase 4,Interventional,Netherlands,Lanadelumab for treatment of COVID-19 disease,Drug,Lanadelumab,Lanadelumab,80,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002472-12,None
1679,EUCTR2020-001903-17-ES,EU Clinical Trials Register,2020-05-15,2020-10-06,False,Hospital Universitario de Móstoles,Authorised,Phase 3,Interventional,Spain,Effects of Tocilizumab  and its combination with Vitamin D to treat the increased defensive response in COVID-19,Drug,Tocilizumab + Vitamin D,Tocilizumab; Vitamin D,120,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001903-17,None
1680,EUCTR2020-002114-40-FR,EU Clinical Trials Register,2020-06-17,2020-07-30,False,Assistance Publique – Hôpitaux de Paris,Authorised,Phase 3,Interventional,France,Nintedanib for the treatment of pulmonary fibrosis induced by Covid-19,Drug,Nintedanib,Nintedanib,250,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002114-40,None
1681,EUCTR2020-001852-16-NL,EU Clinical Trials Register,2020-07-14,2020-07-14,False,Máxima Medisch Centrum,Authorised,Phase 2,Interventional,Netherlands,Iodine treatment Coronavirus infection,Drug,Potassium Iodine,Potassium Iodine,224,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001852-16,None
1682,EUCTR2020-001857-31-DE,EU Clinical Trials Register,2020-07-21,2020-09-11,False,Pluristem Ltd.,Authorised,Phase 2,Interventional,"Israel, Bulgaria, Germany",A clinical study to test if a drug called PLX-PAD is both safe and can help in the treatment of COVID-19 patients,Drug,Emiplacel,Emiplacel,40,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001857-31,None
1683,EUCTR2020-002497-27-CZ,EU Clinical Trials Register,2020-10-22,2020-10-27,False,Thomayer Hospital,Authorised,Phase 4,Interventional,Czech Republic,"A randomized, open-label, phase IV monocentric study evaluating the clinical effect of oral immunomodulatory therapy with IMUNORÂ® in patients with moderate COVID-19 disease",Drug,IMUNOR,IMUNOR,30,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002497-27,None
1684,EUCTR2020-001623-13-GR,EU Clinical Trials Register,2020-04-22,2020-05-20,False,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.,Authorised,Phase 2,Interventional,Greece,Triiodothyronine for the treatment of critically ill patients with COVID-19 infection (Thy-Support Study),Drug,Triiodothyronine,Triiodothyronine,60,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001623-13,None
1685,EUCTR2020-002225-29-FR,EU Clinical Trials Register,2020-04-30,2020-12-11,False,GCS Ramsay Sant pour l'Enseignement et la Recherche,Authorised,Phase 2,Interventional,France,Evaluation of the effects of bradykinin antagonists on pulmonary manifestations of COVID-19 infections.,Drug,Icatibant Acetate vs. C1 Estrerase Inhibitor,Icatibant Acetate; C1 Estrerase Inhibitor,45,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002225-29,None
1686,EUCTR2020-001236-10-NL,EU Clinical Trials Register,2020-03-31,2020-03-31,True,UMC Amsterdam,Authorised,Phase 2,Interventional,Netherlands,Countering Lung Damage in COVID-19 infection: the CounterCovid Study,Drug,Imatinib,Imatinib,386,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001236-10,NL8491
1687,ACTRN12620000554965,ANZCTR,2020-05-11,2020-05-14,False,St. Vincent's Health Network,Recruiting,Not Applicable,Observational,Australia,"ADAPT - COVID-19 Study - A prospective, observational cohort study at St Vincentâ€™s Hospital Sydney",Clinical Presentation,No Intervention,No Intervention,300,https://anzctr.org.au/ACTRN12620000554965.aspx,None
