,index,trialid,source_register,date_registration,date_enrollement,retrospective_registration,normed_spon_names,recruitment_status,phase,study_type,countries,public_title,study_category,intervention,intervention_list,target_enrollment,web_address,cross_registrations
1072,1951,IRCT20130428013151N2,IRCT,2020-10-28,2020-04-25,True,Khoram-Abad University of Medical Sciences,Not Recruiting,Not Applicable,Interventional,Iran,Evaluation of the effect of mucodentol on people with coronavirus,Drug,Mucodentol,Mucodentol,200,http://en.irct.ir/trial/49356,None
1073,1952,IRCT20200506047323N6,IRCT,2020-11-17,2020-11-15,True,Bandare-abbas University of Medical Sciences,Recruiting,Phase 3,Interventional,Iran,Effect of Ivermectin in treatment of COVID-19,Drug,Ivermectin + Hydroxycholoroquine vs. Hydroxychloroquine,Ivermectin; Hydroxychloroquine,120,http://en.irct.ir/trial/49501,None
1074,1953,IRCT20180103038199N3,IRCT,2020-08-30,2020-10-22,False,Mashhad University of Medical Sciences,Recruiting,Phase 2,Interventional,Iran,effects of two products containing Noscapine on COVID-19,Drug,Noscapine,Noscapine,120,http://en.irct.ir/trial/49775,None
1075,1954,IRCT20191211045691N1,IRCT,2020-07-28,2020-07-30,False,Shahid Beheshti University of Medical Sciences,Recruiting,Phase 3,Interventional,Iran,Evaluation of the efficacy and safety of inhaled magnesium sulfate in combination with standard treatment in Covid-19 patients,Drug,Magnesium sulfate,Magnesium sulfate,100,http://en.irct.ir/trial/49879,None
1076,1955,IRCT20160131026298N5,IRCT,2020-08-23,2020-09-22,False,Bagheiat-allah University of Medical Sciences,Recruiting,Phase 2/Phase 3,Interventional,Iran,Evaluation of the effect of SINA anti-flu natural product on COVID-19,Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,80,http://en.irct.ir/trial/49886,None
1077,1956,IRCT20160131026298N6,IRCT,2020-09-08,2020-11-05,False,Bagheiat-allah University of Medical Sciences,Recruiting,Phase 2/Phase 3,Interventional,Iran,Evaluation of the effectiveness of Nigel-7 capsule and black seed mixture on corona,Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,80,http://en.irct.ir/trial/50246,None
1078,1957,IRCT20160919029870N3,IRCT,2020-11-24,2020-03-20,True,Ghoum University of Medical Sciences,Not Recruiting,Phase 3,Interventional,Iran,The effect of selenium in patients with Covid-19,Drug,Selenium,Selenium,80,http://en.irct.ir/trial/50425,None
1079,1958,IRCT20200711048077N1,IRCT,2020-11-16,2020-11-21,False,Mashhad University of Medical Sciences,Recruiting,Not Applicable,Interventional,Iran,Evaluation of respiratory Tele-rehabilitation in patient with COVID-19,Telehealth,Physio & Rehabilitation,Physio & Rehabilitation,60,http://en.irct.ir/trial/50721,None
1080,1959,IRCT20200818048444N1,IRCT,2020-09-15,2020-09-22,False,Tabriz University of Medical Sciences,Not Recruiting,Phase 3,Interventional,Iran,Verification of the efficacy of Bromhexine-hydrochloride in treatment of patients with COVID19 disease,Drug,Bromhexine hydorchloride,Bromhexine hydorchloride,1300,http://en.irct.ir/trial/50780,None
1081,1960,IRCT20200408046987N2,IRCT,2020-11-07,2020-10-16,True,Akam Tejarat Fartak Farasoo,Recruiting,Phase 2/Phase 3,Interventional,Iran,Determination the therapeutic effect of Ivermectin and Sovodak on patients infected with COVID-19,Drug,Ivermectin + Sofosbuvir/daclatsivir,Ivermectin; Sofosbuvir/daclatsivir,150,http://en.irct.ir/trial/51007,None
1082,1961,IRCT20200921048786N1,IRCT,2020-11-11,2020-09-22,True,Dezfoul University of Medical Sciences,Recruiting,Phase 3,Interventional,Iran,Evaluation of the effect of interferon beta-1b in the treatment of COVID-19,Drug,Interferon beta,Interferon beta,82,http://en.irct.ir/trial/51086,None
1083,1962,IRCT20200921048794N1,IRCT,2020-11-19,2020-11-20,False,Hamedan University of Medical Sciences,Recruiting,Phase 3,Interventional,Iran,Evaluation of the Effects of L-carnitine Supplementation on Patients with COVID-19,Drug,L-carnitine,L-carnitine,96,http://en.irct.ir/trial/51120,None
1084,1963,IRCT20151227025726N23,IRCT,2020-11-10,2020-08-06,True,Shahid Beheshti University of Medical Sciences,Not Recruiting,Phase 2/Phase 3,Interventional,Iran,Evaluating the effects of Adalimumab in patients with acute respiratory distress syndrome caused by COVID-19,Drug,Adalimumab,Adalimumab,60,http://en.irct.ir/trial/51473,None
1085,1964,IRCT20181030041504N1,IRCT,2020-11-08,2020-10-07,True,Sirjan Faculty of Medical Science,Not Recruiting,Phase 3,Interventional,Iran,"Evaluation of the combined effect of Hesperidin,Artemisinin- Artemisia annua, Noscapine, N-acetylcysteine, Resveratrol supplements and high dose of vitamin C on treatment, clinical symptoms of non-hospitalization and hospitalization patients with symptomatic COVID-19",Supplement,Artemisinin; Vitamin C; Noscapine; Hesperdin; Resveratrik; N-acetylcysteine,Artemisinin; Vitamin C; Noscapine; Hesperdin; Resveratrik; N-acetylcysteine,100,http://en.irct.ir/trial/51482,None
1086,1965,IRCT20200428047229N3,IRCT,2020-11-25,2020-09-08,True,Shahid Beheshti University of Medical Sciences,Recruiting,Phase 3,Interventional,Iran,Effect of cupping on respiratory symptoms of COVID-19,Traditional Medicine (Other),Traditional Medicine,Traditional Medicine,72,http://en.irct.ir/trial/51516,None
1087,1966,IRCT20201012049010N1,IRCT,2020-11-12,2020-07-22,True,Qazvin University of Medical Sciences,Not Recruiting,Not Applicable,Interventional,Iran,The effect of balloon-blowing on dyspnea and oxygenation in non-critical adult covid-19 patients.,Other,Other,Other,90,http://en.irct.ir/trial/51591,None
1088,1967,IRCT20200426047206N4,IRCT,2020-11-01,2020-10-22,True,Hamedan University of Medical Sciences,Recruiting,Phase 3,Interventional,Iran,Effect of Melatonin in treatment of COVID-19,Drug,Melatonin,Melatonin,60,http://en.irct.ir/trial/51687,None
1089,1968,IRCT20150825023753N17,IRCT,2020-11-01,2020-04-13,True,Shiraz University of Medical Sciences,Not Recruiting,Phase 2,Interventional,Iran,Evaluation of the effect of ghamz with needle on improvement of respiratory symptoms of COVID-19 patients admitted to hospital,Traditional Medicine (Other),Traditional Medicine,Traditional Medicine,18,http://en.irct.ir/trial/51709,None
1090,1969,IRCT20201015049030N1,IRCT,2020-11-07,2020-09-11,True,Tehran University of Medical Sciences,Recruiting,Phase 2,Interventional,Iran,Effect of  Dexamethasone on treatment of COVID-19,Drug,Corticosteroids,Dexamethasone,200,http://en.irct.ir/trial/51736,None
1091,1970,IRCT20201020049088N1,IRCT,2020-11-15,2020-11-05,True,Kerman University of Medical Sciences,Recruiting,Not Applicable,Interventional,Iran,The effects of aromatherapy on the anxiety and sleep quality of the patients with COVID-19,Traditional Medicine (Other),Traditional Medicine,Traditional Medicine,60,http://en.irct.ir/trial/51748,None
1092,1971,IRCT20201016049048N1,IRCT,2020-11-04,2020-11-07,False,Shiraz University of Medical Sciences,Recruiting,Not Applicable,Interventional,Iran,Effect of Iranian Borage on the management of Covid-19 symptoms,Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,60,http://en.irct.ir/trial/51767,None
1093,1972,IRCT20201015049036N1,IRCT,2020-11-27,2020-09-12,True,Dezfoul University of Medical Sciences,Not Recruiting,Phase 2,Interventional,Iran,Efficacy of Date Palm Leaf Extract (Phoenix dactylifera) in Patients with COVID-19 Hospitalized in Ganjavian Hospital in Dezful,Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,100,http://en.irct.ir/trial/51772,None
1094,1973,IRCT20181208041886N2,IRCT,2020-10-29,2020-11-21,False,Exir Danesh Asia Pharmaceutical Co.,Recruiting,Not Applicable,Interventional,Iran,Aftogel and COVID-19 PCR test,Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,60,http://en.irct.ir/trial/51774,None
1095,1974,IRCT20200720048139N1,IRCT,2020-11-09,2020-11-21,False,Islamic Azad University,Recruiting,Phase 2,Interventional,Iran,Investigating effect of Spirulina dietary supplementation on COVID-19 disease outcomes in patients admitted to Intensive Care Units,Drug,Spirulina,Spirulina,138,http://en.irct.ir/trial/51784,None
1096,1975,IRCT20200404046936N4,IRCT,2020-11-01,2020-12-21,False,Shahid Beheshti University of Medical Sciences,Not Recruiting,Not Applicable,Interventional,Iran,RF ablation vs EVLA in lower limb varicosis,Not relevant,Not relevant,Not relevant,1090,http://en.irct.ir/trial/51802,None
1097,1976,IRCT20201024049134N1,IRCT,2020-11-02,2020-11-15,False,Babol University of Medical Sciences,Recruiting,Phase 2,Interventional,Iran,Efficacy of Arbidol in treatment of COVID-19,Drug,Umifenovir,Umifenovir,100,http://en.irct.ir/trial/51847,None
1098,1977,IRCT20200927048848N2,IRCT,2020-11-04,2020-10-31,True,Mashhad University of Medical Sciences,Recruiting,Phase 3,Interventional,Iran,squalene and COVID-19,Drug,Squalene vs. Hydroxychloroquine + Lopinavir/ritonavir,Squalene; Hydroxychloroquine; Lopinavir/ritonavir,15,http://en.irct.ir/trial/51922,None
1099,1978,IRCT20170809035597N2,IRCT,2020-11-16,2020-08-17,True,Iran University of Medical Sciences,Not Recruiting,Phase 3,Interventional,Iran,Efficacy and safety of  pentoxifylline in treatment and recovery of patients with COVID-19,Drug,Pentoxifylline + Hydroxychloroquine + Sofosbuvir/daclatasvir vs. Hydroxychloroquine + Sofosbuvir/daclatasvir,Pentoxifylline; Hydroxychloroquine; Sofosbuvir/daclatasvir,86,http://en.irct.ir/trial/51927,None
1100,1979,IRCT20191211045691N2,IRCT,2020-11-02,2020-09-14,True,Yazd Shahid Sadoughi University of Medical Sciences,Not Recruiting,Phase 3,Interventional,Iran,Evaluation of the efficacy and safety of Doxycycline in combination with standard treatment in Covid-19 patients,Drug,Doxycycline,Doxycycline,60,http://en.irct.ir/trial/51951,None
1101,1980,IRCT20190713044192N2,IRCT,2020-11-21,2020-11-21,False,Tehran University of Medical Sciences,Recruiting,Not Applicable,Interventional,Iran,The effect of the online child birth preparation classes on pregnant women during COVID_19  pandemic,Other,Other,Other,100,http://en.irct.ir/trial/52153,None
1102,1981,IRCT20170315033086N7,IRCT,2020-11-12,2020-11-21,False,Shahid Beheshti University of Medical Sciences,Recruiting,Phase 2,Interventional,Iran,An Investigation of the impact of Faramir on the clinical symptoms in patients with COVID-19,Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,128,http://en.irct.ir/trial/52223,None
1103,1982,IRCT20190804044429N4,IRCT,2020-11-25,2020-11-10,True,Mazandaran University of Medical Sciences,Recruiting,Phase 2/Phase 3,Interventional,Iran,pentoxifyliine in COVID-19,Drug,Pentoxyfylline + Hydroxychloroquine + Lopinavir/ritonavir vs. Hydroxychloroquine + Lopinavir/ritonavir,Pentoxyfylline; Hydroxychloroquine; Lopinavir/ritonavir,60,http://en.irct.ir/trial/52284,None
1104,1984,PACTR202004801273802,PACTR,2020-04-02,2020-04-20,False,Lagos State Government,Recruiting,Phase 3,Interventional,Nigeria,"Lagos COVID-19 Chloroquine Treatment Trial (LACCTT)
",Drug,Chloroquine vs. Hydroxychloroquine,Chloroquine; Hydroxychloroquine,800,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=10928,None
1105,1985,PACTR202004693933092,PACTR,2020-04-12,2020-04-15,False,Misr University for Science and Technology,Not Recruiting,Not Applicable,Interventional,Egypt,Effectiveness of Measles Vaccine in Health Care Professionals During COVID-19 Outbreak (Randomized Controlled Trial),ATMP,Vaccine,Vaccine,200,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=10953,None
1106,1986,PACTR202004761408382,PACTR,2020-04-13,2020-01-05,True,International Centre for Ethnomedicine and Drug Development and Neimeth International Pharmaceuticals Plc.,Not Recruiting,Not Applicable,Interventional,Nigeria,"Efficacy and safety of IHP Detox Tea (a special blend of Andrographis paniculata, Garcinia kola and Psidium guajava) for treatment of Corona virus disease 2019 (COVID-19): a pilot randomized trial",Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,72,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=10957,None
1107,1987,PACTR202005599385499,PACTR,2020-04-16,2020-04-20,False,Cairo University,Not Recruiting,Phase 2,Interventional,Egypt,Folic acid: A new suggested prevention and treatment of COVID-19 infection.,Drug,Folic Acid,Folic Acid,60,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=10971,None
1108,1988,PACTR202004893013257,PACTR,2020-04-21,2020-04-25,False,Dr. Birgit Whitman,Not Recruiting,Phase 3,Interventional,Ghana,Preventing Pulmonary Complications in Surgical Patients at Risk of COVID-19,Drug,Hydroxychloroquine + Lopinavir/ritonavir vs. Hydroxychloroquine vs. Lopinavir/ritonavir,Hydroxychloroquine; Lopinavir/ritonavir,6400,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=10981,None
1109,1989,PACTR202005681895696,PACTR,2020-04-26,2020-01-10,True,University of Oxford,Recruiting,Phase 1,Interventional,Kenya,A study to determine if a new vaccine safely generates good immune responses to protect adults in Kenya from Coronavirus Disease,ATMP,Vaccine,Vaccine,400,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=10988,None
1110,1990,PACTR202009786901147,PACTR,2020-05-07,2020-01-10,True,Dr. William Schilling,Not Recruiting,Phase 3,Interventional,Kenya,Hydroxychloroquine for prevention of COVID-19,Drug (Chemoprophylaxis),Hydroxychloroquine,Hydroxychloroquine,1600,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=11019,None
1111,1991,PACTR202006473370201,PACTR,2020-05-12,2020-04-30,True,London School of Hygiene and Tropical Medicine,Not Recruiting,Phase 3,Interventional,"Pakistan, Nigeria",Coronavirus Response - Active Support for Hospitalised COVID-19 patients,Drug,Aspirin vs. Losartan vs. Simvastatin vs. Aspirin + Losartan vs. Aspirin + Simvastatin vs. Lostartan + Simvastatin vs. Aspirin + Losartan + Simvastatin,Aspirin; Losartan; Simvastatin,10000,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=11037,None
1112,1992,PACTR202007653923168,PACTR,2020-05-13,2020-01-08,True,Kenyatta University Teaching Referral and Research Hospital,Not Recruiting,Phase 3,Interventional,Kenya,A clinical trial comparing use of convalescent plasma therapy plus standard treatment to standard treatment alone in patients with severe COVID-19 infection,ATMP,Plasma,Plasma,206,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=11047,None
1113,1993,PACTR202005622389003,PACTR,2020-05-14,2020-01-06,True,Universite Cheikh Anta Diop ,Not Recruiting,Phase 3,Interventional,Senegal,"Hydroxychloroquine, Azithromycine and Zinc for the treatment of SARS-Cov2 infection in Senegal. COVID-19",Drug,Hydroxychloroquine + Azithromycin,Hydroxychloroquine; Azithromycin,384,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=11053,None
1114,1994,PACTR202006717277937,PACTR,2020-05-25,2020-01-10,True,Awolola Eniola Oladejo,Not Recruiting,Not Applicable,Interventional,Nigeria,Effect of Interferential Therapy on SARS-CoV-2. COVID-19,Other,Inferential Therapy,Inferential Therapy,48,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=11088,None
1115,1995,PACTR202006899597082,PACTR,2020-05-29,2020-04-29,True,Malagasy Government,Not Recruiting,Phase 2,Interventional,Madagascar,Efficacy of a new COVID-19 treatment,Drug,Artesunate vs. Artesunate + Vitamin C,Artesunate; Vitamin C,60,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=11103,None
1116,1996,PACTR202007589336711,PACTR,2020-06-04,2020-07-13,False,Caleb Ademola Omuwa Gbiri,Not Recruiting,Not Applicable,Interventional,Nigeria,"Physiotherapy as a Complimentary treatment in Reducing Viral-Load, Complications, Death, Expedite Discharge and Improve Quality of Life, Exercise Endurance and Capacity in Stroke Survivors with COVID-19: A Clinical-Controlled Study",Other (physio),Physio & Rehabilitation,Physio & Rehabilitation,30,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=11115,None
1117,1997,PACTR202010519682638,PACTR,2020-06-12,2020-08-27,False,National Institute for Pharmaceutical Research and Development (NIPRD),Not Recruiting,Phase 3,Interventional,Nigeria,Efficay of two hydroxychloroquine based drug combination regimens in comparison to standard of care  in The Treatment of Hospitalized COVID-19 Patients,Drug,Hydroxychloroquine vs. Lopinavir/ritonavir,Hydroxychloroquine; Lopinavir/ritonavir,210,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=12147,None
1118,1998,PACTR202006537901307,PACTR,2020-06-15,2020-07-20,False,Drugs for Neglected Diseases initiative (DNDi),Recruiting,Phase 3,Interventional,"Ghana, Sudan, Mozambique, Kenya, Ethiopia, Burkina Faso, Guinea, Cameroon, Tanzania, Equatorial Guinea, Uganda, Cote d'Ivoire, Democratic Republic of the Congo","An open-label, multicentre, randomised, adaptive platform trial of the safety and efficacy of several therapies, including antiviral therapies, versus control in mild/moderate cases of COVID-19",Drug,Lopinavir/ritonavir vs. Hydroxychloroquine,Lopinavir/ritonavir; Hydroxychloroquine,3000,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=12150,None
1119,1999,PACTR202007606032743,PACTR,2020-06-19,2020-06-15,True,Dr. Tarek Ismail,Recruiting,Not Applicable,Interventional,Egypt,Nebulized heparin in patients with mainly moderate coronavirus disease 2019: Randomized controlled trial. COVID-19,Drug,Heparin,Heparin,100,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=12158,None
1120,2000,PACTR202006922165132,PACTR,2020-06-22,2020-06-24,False,University of Oxford,Recruiting,Phase 1,Interventional,South Africa,COVID-19 vaccine (ChAdOx1 nCoV-19) trial in South African Adults with and without HIV-infection,ATMP,Vaccine,Vaccine,2000,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=12166,None
1121,2001,PACTR202006760881890,PACTR,2020-06-23,2020-01-08,True,Lagos State Government,Recruiting,Phase 2,Interventional,Nigeria,Lagos Covid-19 Convalescent Plasma Trial (LACCPT),ATMP,Plasma,Plasma,100,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=12168,None
1122,2002,PACTR202006883882711,PACTR,2020-06-30,2020-01-07,True,Dar Al Fouad Hospital,Not Recruiting,Phase 3,Interventional,Egypt,"Effectiveness of Measles, Mumps and Rubella Vaccine in Health Care Professionals for COVID-19",ATMP,Vaccine,Vaccine,200,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=12175,None
1123,2003,PACTR202007720062393,PACTR,2020-07-02,2020-07-20,False,Inserm-ANRS,Not Recruiting,Phase 2,Interventional,Cote d'Ivoire,Combination Therapies to Reduce Carriage of SARS-Cov-2 and Improve Outcome of COVID-19 in Ivory Coast: a Phase Randomized IIb Trial (INTENSE-COV),Drug,Lopinavir/ritonavir vs. Lopinavir/ritonavir + Telmisartan vs. Lopinavir/ritonavir + Atorvastatin,Lopinavir/ritonavir; Telmisartan; Atorvastatin,294,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=12183,None
1124,2004,PACTR202007611764617,PACTR,2020-07-06,2020-01-09,True,Lagos State Government,Not Recruiting,Phase 3,Interventional,Nigeria,Lagos COVID-19 Black Seed Oil Trial (LACBSOT),Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,80,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=12192,None
1125,2005,PACTR202007700757139,PACTR,2020-07-07,2020-07-13,False,Cytel Inc,Not Recruiting,Phase 2,Interventional,South Africa,TOGETHER 3 Trial. COVID-19,Drug,Lopinavir/ritonavir vs. Vitamin C,Lopinavir/ritonavir; Vitamin C,420,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=12194,None
1126,2006,PACTR202008485004797,PACTR,2020-07-17,2020-03-08,True,Desmond Tutu Health Foundation,Not Recruiting,Not Applicable,Interventional,South Africa,TRACE - Transmission of Covid-19 in Crowded Environments,Clinical Presentation (Epidemiology),No Intervention,No Intervention,720,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=12214,None
1127,2007,PACTR202009726132275,PACTR,2020-08-25,2020-07-30,True,Novavax,Recruiting,Phase 2,Interventional,South Africa,A Study Looking at the Safety and Effectiveness of a COVID-19 Vaccine Plus Adjuvant in South African Adults,ATMP,Vaccine,Vaccine,2904,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=12319,None
1128,2008,PACTR202009769021840,PACTR,2020-08-31,2020-09-15,False,Aga Khan University,Not Recruiting,Phase 2,Interventional,Kenya,Whole-lung low dose radiation therapy (LDRT) in the treatment of severe COVID-19 pneumonia,Other,Radiation,Radiation,20,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=12333,None
1129,2009,PACTR202009642148520,PACTR,2020-09-02,2020-01-11,True,Liverpool School of Tropical Medicine,Not Recruiting,Phase 3,Interventional,"Kenya, Burkina Faso",Malaria as a risk factor for COVID-19 in western Kenya and Burkina Faso,Clinical Presentation,No Intervention,No Intervention,142,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=12343,None
1130,2010,PACTR202010537777617,PACTR,2020-09-13,2020-01-11,True,EMSKE Phytochem,Not Recruiting,Phase 2,Interventional,Kenya,FLAVOCOV Distributed Clinical Trial. COVID-19,Drug,Diosmin + hesperidin,Diosmin; hesperidin,200,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=12365,None
1131,2011,PACTR202009483194545,PACTR,2020-09-20,2020-10-15,False,University of Lome,Not Recruiting,Phase 2,Interventional,Togo,Evaluation of phytopharmaceuticals to improve the prognosis of Covid-19 disease in Togo.,Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,250,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=13381,None
1132,2012,PACTR202010729372570,PACTR,2020-09-25,2020-05-10,True,Government of Uganda; Makerere University,Not Recruiting,Phase 3,Interventional,Uganda,The COVID-19 Community Engagement Study,Other,No Intervention,No Intervention,800,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=13392,None
1133,2013,PACTR202010690466874,PACTR,2020-10-01,2020-01-11,True,Kwame Nkrumah University of Science and Technology,Not Recruiting,Phase 2,Interventional,Ghana,KNUST COVID-19 CLINICAL TRIAL,Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,20,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=13403,None
1134,2014,PACTR202010781639956,PACTR,2020-10-07,2020-09-21,True,Drugs for Neglected Diseases Initiative (DNDi),Recruiting,Phase 3,Interventional,"Sudan, Mozambique, Kenya, Ethiopia, Democratic Republic of the Congo, Equatorial Guinea, Ghana","The impact of COVID-19 treatment on the type, strength and duration of antibody and cellular immune responses in SARS-CoV-2 patients in sub-Saharan Africa
Ancillary Study of the ANTICOV Study:
An open-label, multicentre, randomised, adaptive platform trial of the safety and efficacy of several therapies, including antiviral therapies, versus control in mild / moderate cases of COVID-19",Drug,Hydroxychloroquine vs. Lopinavir/ritonavir vs. Paracetamol,Hydroxychloroquine; Lopinavir/ritonavir; Paracetamol,1000,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=13420,None
1135,2015,PACTR202010472402152,PACTR,2020-10-07,2020-12-10,False,MRC Unit The Gambia at LSHTM,Not Recruiting,Not Applicable,Interventional,Gambia,COVADIS study,Diagnostics,Diagnostic Test or Assessment,Diagnostic Test or Assessment,1100,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=13421,None
1136,2016,PACTR202010718451278,PACTR,2020-10-14,2020-02-11,True,Drugs for Neglected Diseases Initiative (DNDi),Not Recruiting,Phase 3,Interventional,"Mozambique, Kenya, Equatorial Guinea, Ghana","Factors affecting transmission of SARS-CoV-2 in Households of SARS-CoV-2 patients in Sub-Saharan Africa Ancillary study of the ANTICOV Study: An open-label, multicentre, randomised, adaptive platform trial of the safety and efficacy of several therapies, including antiviral therapies, versus control in mild / moderate cases of COVID-19",Drug,Hydroxychloroquine vs. Lopinavir/ritonavir vs. Paracetamol,Hydroxychloroquine; Lopinavir/ritonavir; Paracetamol,2800,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=13432,None
1137,2017,PACTR202011523101903,PACTR,2020-11-02,2020-01-12,True,No Sponsor Name Given,Not Recruiting,Phase 3,Interventional,Kenya,"Study of Recombinant Protein Vaccine with Adjuvant against COVID-19 in Adults 18 Years of Age and Older.
",ATMP,Vaccine,Vaccine,34520,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=13475,None
1138,2018,RPCEC00000306,RPCEC,2020-04-13,2020-03-27,True,"Center for Genetic Engineering and Biotechnology (CIGB), Havana",Recruiting,Phase 1/Phase 2,Interventional,Cuba,CIGB 2020 in contacts and SARS-CoV-2 infection suspects,ATMP,Vaccine,Vaccine,80,https://rpcec.sld.cu/en/trials/RPCEC00000306-En,None
1139,2019,RPCEC00000307,RPCEC,2020-04-14,2020-10-04,False,"Center for Genetic Engineering and Biotechnology (CIGB), Havana",Recruiting,Phase 2,Interventional,Cuba,ESPERANZA study,Drug,Interferon alpha,Interferon alpha,120,https://rpcec.sld.cu/en/trials/RPCEC00000307-En,None
1140,2020,RPCEC00000308,RPCEC,2020-05-03,2020-04-05,True,"Center for Genetic Engineering and Biotechnology (CIGB), Havana",Not Recruiting,Phase 1,Interventional,Cuba,Pharmacodynamics of the Nasalferon in healthy volunteers.,Drug,Nasalferon,Nasalferon,30,https://rpcec.sld.cu/en/trials/RPCEC00000308-En,None
1141,2021,RPCEC00000309,RPCEC,2020-05-05,2020-05-20,False,Colima State Health Service ,Recruiting,Phase 1/Phase 2,Interventional,Mexico,Therapy for COVID-19-Phase I-II,Drug,Homeostec + Paracetamol,Homeostec; Paracetamol,100,https://rpcec.sld.cu/en/trials/RPCEC00000309-En,None
1142,2023,RPCEC00000311,RPCEC,2020-05-12,2020-03-28,True,Center of Molecular Immunology (CIM),Recruiting,Not Applicable,Interventional,Cuba,Treatment of SARS CoV-2 pneumonia with the anti-CD6 monoclonal antibody itolizumab,Drug,Itolizumab,Itolizumab,80,https://rpcec.sld.cu/en/trials/RPCEC00000311-En,None
1143,2025,RPCEC00000313,RPCEC,2020-05-14,2020-03-31,True,"Center for Genetic Engineering and Biotechnology (CIGB), Havana",Not Recruiting,Not Applicable,Interventional,Cuba,CIGB-258 at COVID-19,Drug,CIGB-258,CIGB-258,16,https://rpcec.sld.cu/en/trials/RPCEC00000313-En,None
1144,2026,RPCEC00000314,RPCEC,2020-05-22,2020-04-24,True,Finlay Vaccine Institute (IFV),Recruiting,Not Applicable,Interventional,Cuba,VA-MENGOC-BC to stimulate the innate response against SARS-CoV-2,ATMP,Vaccine,Vaccine,115000,https://rpcec.sld.cu/en/trials/RPCEC00000314-En,None
1145,2027,RPCEC00000315,RPCEC,2020-05-22,2020-05-19,True,Finlay Vaccine Institute (IFV),Recruiting,Not Applicable,Interventional,Cuba,Evaluation of the synergistic effect of  sequential administration of two immunostimulant products: Immuno-1 and Immuno-2 for the stimulation of the immune response in older adults. Exploratory study,Drug,Immunostimulants,Immunostimulants,60,https://rpcec.sld.cu/en/trials/RPCEC00000315-En,None
1146,2028,RPCEC00000316,RPCEC,2020-05-28,2020-03-07,True,Centro Nacional de Biopreparados (BioCen),Not Recruiting,Not Applicable,Interventional,Cuba,Exploratory study of BMT EV to stimulate immune response in patients with CKD-5 on iterated hemodialysis,Drug,Biomodulin T,Biomodulin T,20,https://rpcec.sld.cu/en/trials/RPCEC00000316-En,None
1147,2029,RPCEC00000317,RPCEC,2020-05-28,2020-01-06,True,"Center for Genetic Engineering and Biotechnology (CIGB), Havana",Not Recruiting,Phase 1/Phase 2,Interventional,Cuba,ATENEA-Co-300 study,Drug,CIGB-300,CIGB-300,20,https://rpcec.sld.cu/en/trials/RPCEC00000317-En,None
1148,2032,RPCEC00000320,RPCEC,2020-06-05,2020-08-06,False,National Center for Scientific Research (CNIC),Not Recruiting,Not Applicable,Interventional,Cuba,Rectal Ozone in the COVID-19 treatment,Drug,Ozone,Ozone,32,https://rpcec.sld.cu/en/trials/RPCEC00000320-En,None
