,trialid,source_register,date_registration,date_enrollement,retrospective_registration,recruitment_status,phase,study_type,countries,public_title,target_enrollment,web_address
1093,NCT04285190,ClinicalTrials.gov,2020-02-19,2020-02-26,False,Not Recruiting,Not Applicable,Interventional,No Country Given,The Effect of T89 on Improving Oxygen Saturation and Clinical Symptoms in Patients With COVID-19,0,https://clinicaltrials.gov/show/NCT04285190
1094,NCT04286503,ClinicalTrials.gov,2020-02-25,2020-02-23,True,Not Recruiting,Phase 4,Interventional,No Country Given,The Clinical Study of Carrimycin on Treatment Patients With COVID-19,520,https://clinicaltrials.gov/show/NCT04286503
1095,NCT04287686,ClinicalTrials.gov,2020-02-21,2020-02-01,True,Not Recruiting,Not Applicable,Interventional,China,Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19,0,https://clinicaltrials.gov/show/NCT04287686
1096,NCT04288102,ClinicalTrials.gov,2020-02-24,2020-03-05,False,Not Recruiting,Phase 2,Interventional,China,Treatment With Human Umbilical Cord-derived Mesenchymal Stem Cells for Severe Corona Virus Disease 2019 (COVID-19),100,https://clinicaltrials.gov/show/NCT04288102
1097,NCT04290858,ClinicalTrials.gov,2020-02-27,2020-03-01,False,Not Recruiting,Phase 2,Interventional,No Country Given,Nitric Oxide Gas Inhalation Therapy for Mild/Moderate COVID19 Infection,0,https://clinicaltrials.gov/show/NCT04290858
1098,NCT04290871,ClinicalTrials.gov,2020-02-27,2020-03-23,False,Not Recruiting,Phase 2,Interventional,No Country Given,Nitric Oxide Gas Inhalation for Severe Acute Respiratory Syndrome in COVID-19.,0,https://clinicaltrials.gov/show/NCT04290871
1099,NCT04291053,ClinicalTrials.gov,2020-02-27,2020-04-01,False,Not Recruiting,Phase 2/Phase 3,Interventional,No Country Given,The Efficacy and Safety of Huai er in the Adjuvant Treatment of COVID-19,550,https://clinicaltrials.gov/show/NCT04291053
1100,NCT04291729,ClinicalTrials.gov,2020-02-27,2020-02-17,True,Not Recruiting,Phase 4,Interventional,China,Evaluation of Ganovo (Danoprevir ) Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection,11,https://clinicaltrials.gov/show/NCT04291729
1101,NCT04292899,ClinicalTrials.gov,2020-02-28,2020-03-06,False,Not Recruiting,Phase 3,Interventional,"Sweden, Hong Kong, United Kingdom, Netherlands, Taiwan, Singapore, United States, Italy, Spain, Japan, China, France, Germany, South Korea, Switzerland",Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734â„¢) in Participants With Severe Coronavirus Disease (COVID-19),4891,https://clinicaltrials.gov/show/NCT04292899
1102,NCT04293692,ClinicalTrials.gov,2020-02-24,2020-02-24,False,Not Recruiting,Not Applicable,Interventional,China,Therapy for Pneumonia Patients iInfected by 2019 Novel Coronavirus,0,https://clinicaltrials.gov/show/NCT04293692
1103,NCT04293887,ClinicalTrials.gov,2020-02-15,2020-03-01,False,Not Recruiting,Phase 1,Interventional,No Country Given,Efficacy and Safety of IFN-a2ÃŸ in the Treatment of Novel Coronavirus Patients,328,https://clinicaltrials.gov/show/NCT04293887
1104,NCT04295551,ClinicalTrials.gov,2020-03-03,2020-03-14,False,Not Recruiting,Not Applicable,Interventional,No Country Given,Multicenter Clinical Study on the Efficacy and Safety of Xiyanping Injection in the Treatment of New Coronavirus Infection Pneumonia (General and Severe),80,https://clinicaltrials.gov/show/NCT04295551
1105,NCT04298060,ClinicalTrials.gov,2020-02-28,2020-07-01,False,Not Recruiting,Phase 2,Interventional,China,DAS181 for Patients With Severe Hospitalized Flu and SAD-RVs (COVID-19),280,https://clinicaltrials.gov/show/NCT04298060
1106,NCT04299152,ClinicalTrials.gov,2020-02-28,2020-11-10,False,Not Recruiting,Phase 2,Interventional,No Country Given,Stem Cell Educator Therapy Treat the Viral Inflammation in COVID-19,20,https://clinicaltrials.gov/show/NCT04299152
1107,NCT04299724,ClinicalTrials.gov,2020-03-05,2020-02-15,True,Recruiting,Phase 1,Interventional,China,Safety and Immunity of Covid-19 aAPC Vaccine,100,https://clinicaltrials.gov/show/NCT04299724
1108,NCT04302519,ClinicalTrials.gov,2020-02-27,2020-03-05,False,Not Recruiting,Phase 1,Interventional,No Country Given,Novel Coronavirus Induced Severe Pneumonia Treated by Dental Pulp Mesenchymal Stem Cells,24,https://clinicaltrials.gov/show/NCT04302519
1109,NCT04304053,ClinicalTrials.gov,2020-03-05,2020-03-18,False,Not Recruiting,Phase 3,Interventional,Spain,Treatment of COVID-19 Cases and Chemoprophylaxis of Contacts as Prevention,2300,https://clinicaltrials.gov/show/NCT04304053
1110,NCT04304313,ClinicalTrials.gov,2020-02-14,2020-02-09,True,Recruiting,Phase 3,Interventional,China,A Pilot Study of Sildenafil in COVID-19,10,https://clinicaltrials.gov/show/NCT04304313
1111,NCT04305106,ClinicalTrials.gov,2020-03-09,2020-03-17,False,Recruiting,Not Applicable,Interventional,China,Bevacizumab in Severe or Critically Severe Patients With COVID-19 Pneumonia-RCT,140,https://clinicaltrials.gov/show/NCT04305106
1112,NCT04305457,ClinicalTrials.gov,2020-03-09,2020-03-21,False,Recruiting,Phase 2,Interventional,United States,Nitric Oxide Gas Inhalation Therapy for Mild/Moderate COVID-19,70,https://clinicaltrials.gov/show/NCT04305457
1113,NCT04306055,ClinicalTrials.gov,2020-03-08,2020-03-13,False,Not Recruiting,Not Applicable,Interventional,China,Blood Donor Recruitment During Epidemic of COVID-19,19491,https://clinicaltrials.gov/show/NCT04306055
1114,NCT04307693,ClinicalTrials.gov,2020-03-10,2020-03-11,False,Not Recruiting,Phase 2,Interventional,South Korea,Comparison of Lopinavir/Ritonavir or Hydroxychloroquine in Patients With Mild Coronavirus Disease (COVID-19),65,https://clinicaltrials.gov/show/NCT04307693
1115,NCT04308317,ClinicalTrials.gov,2020-03-04,2020-03-05,False,Recruiting,Phase 4,Interventional,China,Tetrandrine Tablets Used in the Treatment of COVID-19,60,https://clinicaltrials.gov/show/NCT04308317
1116,NCT04310228,ClinicalTrials.gov,2020-03-09,2020-03-08,True,Recruiting,Not Applicable,Interventional,China,Favipiravir Combined With Tocilizumab in the Treatment of Corona Virus Disease 2019,150,https://clinicaltrials.gov/show/NCT04310228
1117,NCT04310865,ClinicalTrials.gov,2020-03-15,2020-11-01,False,Not Recruiting,Phase 2/Phase 3,Interventional,China,Yinhu Qingwen Granula for the Treatment of Severe CoVID-19,116,https://clinicaltrials.gov/show/NCT04310865
1118,NCT04313127,ClinicalTrials.gov,2020-03-15,2020-03-16,False,Not Recruiting,Phase 1,Interventional,China,Phase I Clinical Trial of a COVID-19 Vaccine in 18-60 Healthy Adults,108,https://clinicaltrials.gov/show/NCT04313127
1119,NCT04313322,ClinicalTrials.gov,2020-03-15,2020-03-16,False,Recruiting,Phase 1,Interventional,Jordan,Treatment of COVID-19 Patients Using Wharton's Jelly-Mesenchymal Stem Cells,5,https://clinicaltrials.gov/show/NCT04313322
1120,NCT04315298,ClinicalTrials.gov,2020-03-15,2020-03-18,False,Not Recruiting,Phase 2/Phase 3,Interventional,United States,Evaluation of the Efficacy and Safety of Sarilumab in Hospitalized Patients With COVID-19,1912,https://clinicaltrials.gov/show/NCT04315298
1121,NCT04315480,ClinicalTrials.gov,2020-03-14,2020-03-12,True,Not Recruiting,Phase 2,Interventional,Italy,Tocilizumab for SARS-CoV2 (COVID-19) Severe Pneumonitis,38,https://clinicaltrials.gov/show/NCT04315480
1122,NCT04315896,ClinicalTrials.gov,2020-03-18,2020-04-14,False,Not Recruiting,Phase 3,Interventional,Mexico,Hydroxychloroquine Treatment for Severe COVID-19 Pulmonary Infection (HYDRA Trial),500,https://clinicaltrials.gov/show/NCT04315896
1123,NCT04315987,ClinicalTrials.gov,2020-03-18,2020-06-01,False,Not Recruiting,Phase 2,Interventional,Brazil,NestaCellÂ® Mesenchymal Stem Cell to Treat Patients With Severe COVID-19 Pneumonia,90,https://clinicaltrials.gov/show/NCT04315987
1124,NCT04316377,ClinicalTrials.gov,2020-03-13,2020-03-25,False,Not Recruiting,Phase 4,Interventional,Norway,Norwegian Coronavirus Disease 2019 Study,53,https://clinicaltrials.gov/show/NCT04316377
1125,NCT04316728,ClinicalTrials.gov,2020-03-14,2020-03-01,True,Not Recruiting,Not Applicable,Interventional,Italy,Clinical Performance of the VivaDiag â„¢ COVID-19 lgM / IgG Rapid Test in Early Detecting the Infection of COVID-19,200,https://clinicaltrials.gov/show/NCT04316728
1126,NCT04318015,ClinicalTrials.gov,2020-03-19,2020-04-14,False,Recruiting,Phase 3,Interventional,Mexico,Hydroxychloroquine Chemoprophylaxis in Healthcare Personnel in Contact With COVID-19 Patients (PHYDRA Trial),400,https://clinicaltrials.gov/show/NCT04318015
1127,NCT04318431,ClinicalTrials.gov,2020-03-20,2020-04-14,False,Not Recruiting,Not Applicable,Interventional,France,Prevalence of SARS -Cov2 Carriage in Asymptomatic and Mildly-symptomatic Children,605,https://clinicaltrials.gov/show/NCT04318431
1128,NCT04318444,ClinicalTrials.gov,2020-03-20,2020-03-29,False,Recruiting,Phase 2/Phase 3,Interventional,United States,Hydroxychloroquine Post Exposure Prophylaxis for Coronavirus Disease (COVID-19),1600,https://clinicaltrials.gov/show/NCT04318444
1129,NCT04319731,ClinicalTrials.gov,2020-03-22,2020-03-20,True,Recruiting,Phase 1,Interventional,United States,A Pilot Study of Human Amniotic Fluid for COVID19 Associated Respiratory Failure,10,https://clinicaltrials.gov/show/NCT04319731
1130,NCT04319900,ClinicalTrials.gov,2020-03-20,2020-03-05,True,Recruiting,Phase 2/Phase 3,Interventional,China,Clinical Trial of Favipiravir Tablets Combine With Chloroquine Phosphate in the Treatment of Novel Coronavirus Pneumonia,150,https://clinicaltrials.gov/show/NCT04319900
1131,NCT04320056,ClinicalTrials.gov,2020-03-19,2020-04-20,False,Recruiting,Not Applicable,Interventional,Canada,Closed-Loop Oxygen to Verify That Healthcare Workers Interventions Decrease During SARS-CoV-2 Pneumonia (COVID-19),216,https://clinicaltrials.gov/show/NCT04320056
1132,NCT04320238,ClinicalTrials.gov,2020-03-21,2020-01-21,True,Recruiting,Phase 3,Interventional,China,Experimental Trial of rhIFNa Nasal Drops to Prevent 2019-nCOV in Medical Staff,2944,https://clinicaltrials.gov/show/NCT04320238
1133,NCT04320277,ClinicalTrials.gov,2020-03-20,2020-05-16,False,Not Recruiting,Phase 2/Phase 3,Interventional,Italy,"Baricitinib in Symptomatic Patients Infected by COVID-19: an Open-label, Pilot Study.",200,https://clinicaltrials.gov/show/NCT04320277
1134,NCT04320615,ClinicalTrials.gov,2020-03-23,2020-04-03,False,Not Recruiting,Phase 3,Interventional,"Denmark, United Kingdom, Netherlands, Canada, United States, Italy, Spain, France, Germany",A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,450,https://clinicaltrials.gov/show/NCT04320615
1135,NCT04320953,ClinicalTrials.gov,2020-03-21,2020-03-16,True,Not Recruiting,Not Applicable,Interventional,China,Non-contact Endoscopy at Covid-19 Outbreak,5,https://clinicaltrials.gov/show/NCT04320953
1136,NCT04321174,ClinicalTrials.gov,2020-03-18,2020-04-17,False,Recruiting,Phase 3,Interventional,Canada,COVID-19 Ring-based Prevention Trial With Lopinavir/Ritonavir,1220,https://clinicaltrials.gov/show/NCT04321174
1137,NCT04321421,ClinicalTrials.gov,2020-03-23,2020-03-17,True,Not Recruiting,Not Applicable,Interventional,Italy,Hyperimmune Plasma for Critical Patients With COVID-19,49,https://clinicaltrials.gov/show/NCT04321421
1138,NCT04321616,ClinicalTrials.gov,2020-03-23,2020-03-28,False,Recruiting,Phase 2/Phase 3,Interventional,Norway,The Efficacy of Different Anti-viral Drugs in COVID 19 Infected Patients,700,https://clinicaltrials.gov/show/NCT04321616
1139,NCT04321928,ClinicalTrials.gov,2020-03-20,2020-04-01,False,Recruiting,Not Applicable,Interventional,Hungary,Personalized Health Education Against the Health Damage of Novel Coronavirus (COVID-19) Outbreak in Hungary,7576,https://clinicaltrials.gov/show/NCT04321928
1140,NCT04321993,ClinicalTrials.gov,2020-03-24,2020-04-17,False,Recruiting,Phase 2,Interventional,Canada,Treatment of Moderate to Severe Coronavirus Disease (COVID-19) in Hospitalized Patients,800,https://clinicaltrials.gov/show/NCT04321993
1141,NCT04322344,ClinicalTrials.gov,2020-03-23,2020-03-23,False,Recruiting,Phase 2/Phase 3,Interventional,Italy,Escin in Patients With Covid-19 Infection,120,https://clinicaltrials.gov/show/NCT04322344
1142,NCT04322565,ClinicalTrials.gov,2020-03-24,2020-04-20,False,Recruiting,Phase 2,Interventional,Italy,Colchicine Counteracting Inflammation in COVID-19 Pneumonia,310,https://clinicaltrials.gov/show/NCT04322565
1143,NCT04322773,ClinicalTrials.gov,2020-03-24,2020-04-05,False,Not Recruiting,Phase 2,Interventional,Denmark,Anti-il6 Treatment of Serious COVID-19 Disease With Threatening Respiratory Failure,20,https://clinicaltrials.gov/show/NCT04322773
1144,NCT04323228,ClinicalTrials.gov,2020-03-23,2020-09-01,False,Recruiting,Phase 2/Phase 3,Interventional,Saudi Arabia,Anti-inflammatory/Antioxidant Oral Nutrition Supplementation in COVID-19,40,https://clinicaltrials.gov/show/NCT04323228
1145,NCT04323332,ClinicalTrials.gov,2020-03-08,2020-03-01,True,Not Recruiting,Phase 3,Interventional,China,Traditional Chinese Medicine for Severe COVID-19,50,https://clinicaltrials.gov/show/NCT04323332
1146,NCT04323345,ClinicalTrials.gov,2020-03-23,2020-04-15,False,Recruiting,Phase 3,Interventional,Egypt,Efficacy of Natural Honey Treatment in Patients With Novel Coronavirus,1000,https://clinicaltrials.gov/show/NCT04323345
1147,NCT04323514,ClinicalTrials.gov,2020-03-18,2020-03-13,True,Recruiting,Not Applicable,Interventional,Italy,Use of Ascorbic Acid in Patients With COVID 19,500,https://clinicaltrials.gov/show/NCT04323514
1148,NCT04323631,ClinicalTrials.gov,2020-03-25,2020-04-30,False,Not Recruiting,Phase 1,Interventional,No Country Given,Hydroxychloroquine for the Treatment of Patients With Mild to Moderate COVID-19 to Prevent Progression to Severe Infection or Death,0,https://clinicaltrials.gov/show/NCT04323631
1149,NCT04324073,ClinicalTrials.gov,2020-03-25,2020-03-27,False,Not Recruiting,Phase 2/Phase 3,Interventional,France,Cohort Multiple Randomized Controlled Trials Open-label of Immune Modulatory Drugs and Other Treatments in COVID-19 Patients - Sarilumab Trial - CORIMUNO-19 - SARI,239,https://clinicaltrials.gov/show/NCT04324073
1150,NCT04324190,ClinicalTrials.gov,2020-03-26,2020-04-08,False,Recruiting,Not Applicable,Interventional,Germany,DIgital Online SuPport for COVID-19 StrEss,600,https://clinicaltrials.gov/show/NCT04324190
1151,NCT04324489,ClinicalTrials.gov,2020-03-25,2020-03-06,True,Not Recruiting,Not Applicable,Interventional,China,DAS181 for Severe COVID-19: Compassionate Use,4,https://clinicaltrials.gov/show/NCT04324489
1152,NCT04324996,ClinicalTrials.gov,2020-03-25,2020-02-21,True,Recruiting,Phase 1/Phase 2,Interventional,China,A Phase I/II Study of Universal Off-the-shelf NKG2D-ACE2 CAR-NK Cells for Therapy of COVID-19,90,https://clinicaltrials.gov/show/NCT04324996
1153,NCT04325672,ClinicalTrials.gov,2020-03-26,2020-04-01,False,Not Recruiting,Phase 2,Interventional,United States,Convalescent Plasma to Limit Coronavirus Associated Complications,0,https://clinicaltrials.gov/show/NCT04325672
1154,NCT04325867,ClinicalTrials.gov,2020-03-21,2020-03-31,False,Recruiting,Not Applicable,Interventional,Romania,Integrated Distance Management Strategy for Patients With Cardiovascular Diseases in the Context of COVID-19,200,https://clinicaltrials.gov/show/NCT04325867
1155,NCT04325893,ClinicalTrials.gov,2020-03-25,2020-04-01,False,Not Recruiting,Phase 3,Interventional,"France, Monaco",Hydroxychloroquine Versus Placebo in COVID-19 Patients at Risk for Severe Disease,259,https://clinicaltrials.gov/show/NCT04325893
1156,NCT04326036,ClinicalTrials.gov,2020-03-26,2020-03-25,True,Recruiting,Phase 1,Interventional,United States,Use of cSVF Via IV Deployment for Residual Lung Damage After Symptomatic COVID-19 Infection,10,https://clinicaltrials.gov/show/NCT04326036
1157,NCT04326075,ClinicalTrials.gov,2020-03-26,2020-10-01,False,Not Recruiting,Not Applicable,Interventional,Italy,Early CPAP in COVID-19 Patients With Respiratory Failure.,900,https://clinicaltrials.gov/show/NCT04326075
1158,NCT04326114,ClinicalTrials.gov,2020-03-26,2020-07-26,False,Not Recruiting,Not Applicable,Interventional,No Country Given,Effectiveness and Safety of Respiratory Training in the Prevention and Severity of COVID-19,240,https://clinicaltrials.gov/show/NCT04326114
1159,NCT04326426,ClinicalTrials.gov,2020-03-26,2020-04-13,False,Recruiting,Phase 3,Interventional,United States,ODYSSEY: A Study to Investigate the Efficacy of Tradipitant in Treating Severe or Critical COVID-19 Infection,300,https://clinicaltrials.gov/show/NCT04326426
1160,NCT04326452,ClinicalTrials.gov,2020-03-25,2020-03-27,False,Recruiting,Not Applicable,Interventional,United States,Treating COVID-19 With a Bidirectional Oxygenation Valve,30,https://clinicaltrials.gov/show/NCT04326452
1161,NCT04327349,ClinicalTrials.gov,2020-03-24,2020-03-28,False,Recruiting,Not Applicable,Interventional,Iran,Investigating Effect of Convalescent Plasma on COVID-19 Patients Outcome: A Clinical Trial,30,https://clinicaltrials.gov/show/NCT04327349
1162,NCT04327401,ClinicalTrials.gov,2020-03-26,2020-04-13,False,Not Recruiting,Phase 3,Interventional,Brazil,COVID-19-associated ARDS Treated With Dexamethasone: Alliance Covid-19 Brasil III,299,https://clinicaltrials.gov/show/NCT04327401
1163,NCT04328129,ClinicalTrials.gov,2020-03-23,2020-03-23,False,Recruiting,Not Applicable,Interventional,"French Guiana, Guadeloupe, New Caledonia",Household Transmission Investigation Study for COVID-19 in Tropical Regions,1300,https://clinicaltrials.gov/show/NCT04328129
1164,NCT04328272,ClinicalTrials.gov,2020-03-25,2020-03-28,False,Not Recruiting,Phase 3,Interventional,Pakistan,Effectiveness of Hydroxychloroquine in Covid-19 Patients,75,https://clinicaltrials.gov/show/NCT04328272
1165,NCT04328285,ClinicalTrials.gov,2020-03-25,2020-04-14,False,Not Recruiting,Phase 3,Interventional,France,Chemoprophylaxis of SARS-CoV-2 Infection (COVID-19) in Exposed Healthcare Workers,1200,https://clinicaltrials.gov/show/NCT04328285
1166,NCT04328467,ClinicalTrials.gov,2020-03-27,2020-04-06,False,Not Recruiting,Phase 3,Interventional,United States,Pre-exposure Prophylaxis for SARS-Coronavirus-2,1500,https://clinicaltrials.gov/show/NCT04328467
1167,NCT04328961,ClinicalTrials.gov,2020-03-23,2020-03-31,False,Not Recruiting,Phase 2/Phase 3,Interventional,United States,Hydroxychloroquine for COVID-19 Post-exposure Prophylaxis (PEP),829,https://clinicaltrials.gov/show/NCT04328961
1168,NCT04329533,ClinicalTrials.gov,2020-03-26,2020-04-13,False,Not Recruiting,Not Applicable,Interventional,United States,Effects of Using Mobile App on Perceived Stress During COVID-19 Pandemic,101,https://clinicaltrials.gov/show/NCT04329533
1169,NCT04329572,ClinicalTrials.gov,2020-03-29,2020-04-23,False,Not Recruiting,Phase 1,Interventional,Brazil,Efficacy and Safety of Hydroxychloroquine and Azithromycin for the Treatment of Hospitalized Patients With Moderate to Severe COVID-19,400,https://clinicaltrials.gov/show/NCT04329572
1170,NCT04329611,ClinicalTrials.gov,2020-03-29,2020-04-13,False,Not Recruiting,Phase 3,Interventional,Canada,ALBERTA HOPE COVID-19 for the Prevention of Severe COVID19 Disease,148,https://clinicaltrials.gov/show/NCT04329611
1171,NCT04329650,ClinicalTrials.gov,2020-03-31,2020-04-15,False,Recruiting,Phase 2,Interventional,Spain,Efficacy and Safety of Siltuximab vs. Corticosteroids in Hospitalized Patients With COVID-19 Pneumonia,200,https://clinicaltrials.gov/show/NCT04329650
1172,NCT04329832,ClinicalTrials.gov,2020-03-30,2020-03-30,False,Not Recruiting,Phase 2,Interventional,United States,Hydroxychloroquine vs. Azithromycin for Hospitalized Patients With Suspected or Confirmed COVID-19,85,https://clinicaltrials.gov/show/NCT04329832
1173,NCT04330144,ClinicalTrials.gov,2020-03-30,2020-04-01,False,Not Recruiting,Phase 3,Interventional,No Country Given,Hydroxychloroquine as Post Exposure Prophylaxis for SARS-CoV-2(HOPE Trial),2486,https://clinicaltrials.gov/show/NCT04330144
1174,NCT04330300,ClinicalTrials.gov,2020-03-30,2020-04-30,False,Not Recruiting,Phase 4,Interventional,Ireland,Coronavirus (COVID-19) ACEi/ARB Investigation,2414,https://clinicaltrials.gov/show/NCT04330300
1175,NCT04330495,ClinicalTrials.gov,2020-03-31,2020-04-06,False,Not Recruiting,Phase 4,Interventional,No Country Given,"Randomized, Controlled, Double-blind Clinical Trial Comparing the Efficacy and Safety of Chemoprophylaxis With Hydroxychloroquine in Patients Under Biological Treatment and / or JAK Inhibitors in the Prevention of SARS-CoV-2 Infection",800,https://clinicaltrials.gov/show/NCT04330495
1176,NCT04331470,ClinicalTrials.gov,2020-03-30,2020-04-04,False,Recruiting,Phase 2/Phase 3,Interventional,Iran,Evaluation of Efficacy of Levamisole and Formoterol+Budesonide in Treatment of COVID-19,30,https://clinicaltrials.gov/show/NCT04331470
1177,NCT04331613,ClinicalTrials.gov,2020-02-06,2020-01-27,True,Recruiting,Phase 1/Phase 2,Interventional,China,Safety and Efficacy of CAStem for Severe COVID-19 Associated With/Without ARDS,9,https://clinicaltrials.gov/show/NCT04331613
1178,NCT04331808,ClinicalTrials.gov,2020-03-31,2020-03-30,True,Not Recruiting,Phase 2,Interventional,France,CORIMUNO-19 - Tocilizumab Trial - TOCI (CORIMUNO-TOCI),228,https://clinicaltrials.gov/show/NCT04331808
1179,NCT04332380,ClinicalTrials.gov,2020-03-30,2020-05-01,False,Not Recruiting,Phase 2,Interventional,Colombia,Convalescent Plasma for Patients With COVID-19: A Pilot Study,10,https://clinicaltrials.gov/show/NCT04332380
1180,NCT04332666,ClinicalTrials.gov,2020-03-27,2020-09-30,False,Not Recruiting,Phase 2/Phase 3,Interventional,No Country Given,"Angiotensin-(1,7) Treatment in COVID-19: the ATCO Trial",60,https://clinicaltrials.gov/show/NCT04332666
1181,NCT04332835,ClinicalTrials.gov,2020-03-31,2020-08-08,False,Not Recruiting,Phase 2/Phase 3,Interventional,Colombia,"Convalescent Plasma for Patients With COVID-19: A Randomized, Single Blinded, Parallel, Controlled Clinical Study",92,https://clinicaltrials.gov/show/NCT04332835
1182,NCT04333251,ClinicalTrials.gov,2020-03-27,2020-04-01,False,Not Recruiting,Phase 1,Interventional,No Country Given,Study Testing Convalescent Plasma vs Best Supportive Care,115,https://clinicaltrials.gov/show/NCT04333251
1183,NCT04333407,ClinicalTrials.gov,2020-04-01,2020-04-03,False,Recruiting,Not Applicable,Interventional,United Kingdom,Preventing Cardiac Complication of COVID-19 Disease With Early Acute Coronary Syndrome Therapy: A Randomised Controlled Trial.,3170,https://clinicaltrials.gov/show/NCT04333407
1184,NCT04333550,ClinicalTrials.gov,2020-04-01,2020-04-01,False,Recruiting,Phase 1/Phase 2,Interventional,Iran,Application of Desferal to Treat COVID-19,50,https://clinicaltrials.gov/show/NCT04333550
1185,NCT04333589,ClinicalTrials.gov,2020-04-01,2020-04-01,False,Recruiting,Not Applicable,Interventional,China,Corona Virus Disease 2019 Patients Whose Nucleic Acids Changed From Negative to Positive,210,https://clinicaltrials.gov/show/NCT04333589
1186,NCT04333628,ClinicalTrials.gov,2020-04-01,2020-06-01,False,Not Recruiting,Phase 2/Phase 3,Interventional,Israel,Chloroquine for Mild Symptomatic and Asymptomatic COVID-19,5,https://clinicaltrials.gov/show/NCT04333628
1187,NCT04333654,ClinicalTrials.gov,2020-04-01,2020-04-12,False,Not Recruiting,Phase 1,Interventional,"Netherlands, France, United States, Belgium",Hydroxychloroquine in Outpatient Adults With COVID-19,8,https://clinicaltrials.gov/show/NCT04333654
1188,NCT04334005,ClinicalTrials.gov,2020-03-29,2020-04-10,False,Not Recruiting,Not Applicable,Interventional,Spain,Vitamin D on Prevention and Treatment of COVID-19,200,https://clinicaltrials.gov/show/NCT04334005
1189,NCT04334265,ClinicalTrials.gov,2020-04-01,2020-04-01,False,Recruiting,Not Applicable,Interventional,China,Efficacy and Safety of Anluohuaxian in the Treatment of Rehabilitation Patients With Corona Virus Disease 2019,750,https://clinicaltrials.gov/show/NCT04334265
1190,NCT04334382,ClinicalTrials.gov,2020-04-02,2020-04-02,False,Recruiting,Phase 3,Interventional,United States,Hydroxychloroquine vs. Azithromycin for Outpatients in Utah With COVID-19,1550,https://clinicaltrials.gov/show/NCT04334382
1191,NCT04334629,ClinicalTrials.gov,2020-04-02,2020-05-26,False,Recruiting,Phase 4,Interventional,United Kingdom,LIBERATE Trial in COVID-19,230,https://clinicaltrials.gov/show/NCT04334629
1192,NCT04334850,ClinicalTrials.gov,2020-04-02,2020-04-20,False,Recruiting,Not Applicable,Interventional,France,Use of a Respiratory Multiplex PCR and Procalcitonin to Reduce Antibiotics Exposure in Patients With Severe Confirmed COVID-19 Pneumonia,194,https://clinicaltrials.gov/show/NCT04334850
1193,NCT04334967,ClinicalTrials.gov,2020-04-02,2020-03-30,True,Not Recruiting,Phase 4,Interventional,United States,Hydroxychloroquine in Patients With Newly Diagnosed COVID-19 Compared to Standard of Care,13,https://clinicaltrials.gov/show/NCT04334967
1194,NCT04335032,ClinicalTrials.gov,2020-04-01,2020-11-09,False,Not Recruiting,Phase 3,Interventional,No Country Given,EPA-FFA to Treat Hospitalised Patients With COVID-19 (SARS-CoV-2),284,https://clinicaltrials.gov/show/NCT04335032
1195,NCT04335071,ClinicalTrials.gov,2020-04-02,2020-04-26,False,Not Recruiting,Phase 2,Interventional,Switzerland,Tocilizumab in the Treatment of Coronavirus Induced Disease (COVID-19),5,https://clinicaltrials.gov/show/NCT04335071
1196,NCT04335279,ClinicalTrials.gov,2020-04-01,2020-04-09,False,Not Recruiting,Not Applicable,Interventional,Canada,Evaluation of the Scleroderma Patient-centered Intervention Network COVID-19 Home-isolation Activities Together Program,172,https://clinicaltrials.gov/show/NCT04335279
1197,NCT04335305,ClinicalTrials.gov,2020-03-31,2020-04-09,False,Recruiting,Phase 2,Interventional,Spain,Checkpoint Blockade in COVID-19 Pandemic,24,https://clinicaltrials.gov/show/NCT04335305
1198,NCT04335786,ClinicalTrials.gov,2020-04-02,2020-04-17,False,Recruiting,Phase 4,Interventional,Netherlands,Valsartan for Prevention of Acute Respiratory Distress Syndrome in Hospitalized Patients With SARS-COV-2 (COVID-19) Infection Disease,651,https://clinicaltrials.gov/show/NCT04335786
1199,NCT04335851,ClinicalTrials.gov,2020-04-02,2020-04-06,False,Not Recruiting,Not Applicable,Interventional,Turkey,Video-Based Exercises and Well-Being During Social Isolation,68,https://clinicaltrials.gov/show/NCT04335851
1200,NCT04336462,ClinicalTrials.gov,2020-03-25,2020-02-15,True,Recruiting,Not Applicable,Interventional,China,Hydrogen-Oxygen Generator With Nebulizer in the Improvement of Symptoms in Patients Infected With COVID-19,100,https://clinicaltrials.gov/show/NCT04336462
1201,NCT04336748,ClinicalTrials.gov,2020-04-04,2020-04-01,True,Not Recruiting,Phase 3,Interventional,No Country Given,HCQ for Primary Prophylaxis Against COVID19 in Health-care Workers,440,https://clinicaltrials.gov/show/NCT04336748
1202,NCT04336774,ClinicalTrials.gov,2020-04-03,2020-07-01,False,Not Recruiting,Not Applicable,Interventional,United States,CAPTION AI to Minimize Risk of COVID Exposure,0,https://clinicaltrials.gov/show/NCT04336774
1203,NCT04336904,ClinicalTrials.gov,2020-04-03,2020-03-25,True,Not Recruiting,Phase 3,Interventional,Italy,Clinical Study To Evaluate The Performance And Safety Of Favipiravir in COVID-19,100,https://clinicaltrials.gov/show/NCT04336904
