ISRCTN,Basic results,Peer-reviewed publications,Overall trial start,Overall trial end,Record last updated,Overall trial status,Recruitment status,EudraCT number,ClinicalTrials.gov number
ISRCTN33794377,,2021 Results article in https://doi.org/10.1177%2F0269215520984047 results (added 02/03/2021),23/10/2014,28/02/2019,02/03/2021,Completed,No longer recruiting,,
ISRCTN30768813,,2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/29125783 results 2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/29514772 results,01/01/2016,31/12/2016,09/03/2018,Completed,No longer recruiting,,
ISRCTN52284448,,,01/12/2014,15/01/2018,22/01/2018,Completed,No longer recruiting,,
ISRCTN37915093,,2021 Results article in https://pubmed.ncbi.nlm.nih.gov/34405118/ (added 19/08/2021),01/03/2016,01/11/2019,23/09/2021,Completed,No longer recruiting,2015-005004-28,
ISRCTN34353836,,2021 Results article in https://pubmed.ncbi.nlm.nih.gov/34876412/ (added 20/12/2021),01/01/2014,14/09/2020,20/12/2021,Completed,No longer recruiting,,
ISRCTN14491942,,2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/30383839 results,16/10/2014,14/09/2016,04/12/2018,Completed,No longer recruiting,,
ISRCTN11624674,,2017 Results article in https://pubmed.ncbi.nlm.nih.gov/28503480/ (added 18/11/2021),01/01/2015,31/12/2015,18/11/2021,Completed,No longer recruiting,,
ISRCTN34805606,,2017 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/28056894 protocol 2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/29674706 results (added 17/04/2019) 2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/31245004 results (added 03/02/2020) 2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/31420897 results (added 03/02/2020) 2021 Results article in https://pubmed.ncbi.nlm.nih.gov/33136119/ results (added 03/11/2020),01/04/2011,01/04/2018,12/03/2021,Completed,No longer recruiting,,
ISRCTN31262122,,,01/03/2016,30/04/2022,04/03/2022,Ongoing,No longer recruiting,2015-005280-17,NCT02654327
ISRCTN15662612,,2019 Results article in https://pubmed.ncbi.nlm.nih.gov/31090161/ (added 18/11/2021),01/01/2013,10/05/2015,18/11/2021,Completed,No longer recruiting,,
ISRCTN15071530,,2020 Results article in https://pubmed.ncbi.nlm.nih.gov/32202035/ results (added 02/09/2020),01/01/2016,31/07/2017,02/09/2020,Completed,No longer recruiting,,
ISRCTN74486450,,2016 Results article in https://www.ncbi.nlm.nih.gov/pubmed/27525532 results,04/01/2016,10/05/2016,08/05/2017,Completed,No longer recruiting,2016-000481-32,
ISRCTN49980913,,2017 Results article in https://pubmed.ncbi.nlm.nih.gov/27709487/ results (added 30/11/2020),01/12/2013,01/12/2015,30/11/2020,Completed,No longer recruiting,,
ISRCTN78792172,,,01/09/2015,31/03/2016,08/04/2016,Completed,No longer recruiting,,
ISRCTN32178828,,,01/09/2015,30/09/2016,07/04/2016,Completed,No longer recruiting,,
ISRCTN14066467,Basic results see attached file ISRCTN14066467_BasicResults_12Aug19.pdf (added 14/08/2019),2020 Results article in https://pubmed.ncbi.nlm.nih.gov/32277872 results (added 15/04/2020),01/09/2015,15/04/2017,15/04/2020,Completed,No longer recruiting,,
ISRCTN14425284,,2017 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/28056933 protocol 2020 Results article in https://pubmed.ncbi.nlm.nih.gov/32513161/ results (added 19/02/2021),17/04/2016,01/05/2017,19/02/2021,Completed,No longer recruiting,,
ISRCTN13454737,,,01/09/2012,30/09/2016,08/04/2016,Completed,No longer recruiting,,
ISRCTN95873364,,2016 Results article in https://pubmed.ncbi.nlm.nih.gov/28030867/ (added 18/11/2021),20/05/2014,19/05/2015,18/11/2021,Completed,No longer recruiting,,
ISRCTN22231701,,,01/02/2016,30/08/2017,13/02/2020,Stopped,Stopped,,NCT02739243
ISRCTN90000867,,2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/30445923 results (added 17/07/2019),01/02/2010,01/01/2016,17/07/2019,Completed,No longer recruiting,,
ISRCTN13242080,,2016 Results article in https://www.ncbi.nlm.nih.gov/pubmed/27145867 results,30/06/2013,01/07/2014,25/09/2017,Completed,No longer recruiting,,
ISRCTN65093728,,2021 Results article in https://pubmed.ncbi.nlm.nih.gov/33972364/ (added 18/11/2021),30/03/2016,31/01/2018,18/11/2021,Completed,No longer recruiting,,
ISRCTN15192099,,,26/06/2014,31/12/2021,01/04/2020,Completed,No longer recruiting,,
ISRCTN28272199,,2019 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/30705235 protocol (added 16/01/2020),01/01/2016,31/12/2018,16/01/2020,Completed,No longer recruiting,,
ISRCTN98567612,,,23/06/2015,13/09/2016,30/08/2017,Stopped,Stopped,,
ISRCTN14894739,,,01/01/2013,08/05/2013,05/04/2016,Completed,No longer recruiting,,
ISRCTN13676183,,2021 Other publications in https://pubmed.ncbi.nlm.nih.gov/34863297/ Description of PPI activities (added 06/12/2021) 2021 Results article in https://pubmed.ncbi.nlm.nih.gov/34290663/ (added 06/12/2021),01/04/2015,31/03/2018,06/12/2021,Completed,No longer recruiting,,
ISRCTN10944304,,2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/31161042 results (added 05/06/2019),10/04/2016,15/10/2016,05/06/2019,Completed,No longer recruiting,,
ISRCTN11983645,,2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28369530 results 2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/29367294 results from embedded study,01/12/2015,30/06/2016,07/02/2019,Completed,No longer recruiting,,
ISRCTN10329248,,2018 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/29514697 protocol 2020 Results article in https://pubmed.ncbi.nlm.nih.gov/31874736/ results (added 16/07/2020),28/05/2014,01/10/2018,16/07/2020,Completed,No longer recruiting,,
ISRCTN11698069,,Thesis results in https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.737946 (added 23/04/2021),01/06/2015,01/09/2018,23/04/2021,Completed,No longer recruiting,,
ISRCTN36145549,,,01/09/2015,06/05/2016,09/06/2016,Completed,No longer recruiting,2015-003729-33,
ISRCTN50041002,,,01/12/2014,31/12/2015,22/04/2016,Completed,No longer recruiting,,
ISRCTN11348079,,,01/01/2014,01/06/2019,26/05/2021,Completed,No longer recruiting,,
ISRCTN75035690,Basic results see attached file ISRCTN75035690_BasicResults_29Jan21.pdf (added 21/07/2021),,01/12/2014,31/01/2017,21/07/2021,Completed,No longer recruiting,,
ISRCTN13869335,,2016 Results article in https://pubmed.ncbi.nlm.nih.gov/27775972/ (added 18/11/2021),03/12/2014,02/12/2015,18/11/2021,Completed,No longer recruiting,,
ISRCTN18421340,,2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28691442 results 2017 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/28738857 protocol 2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/30601823 results 2019 Results article in https://pubmed.ncbi.nlm.nih.gov/30907508/ qualitative results (added 17/07/2020),01/03/2016,01/06/2017,17/07/2020,Completed,No longer recruiting,,
ISRCTN11774734,,2021 Protocol article in https://pubmed.ncbi.nlm.nih.gov/34301646/ protocol (added 26/07/2021),01/01/2015,30/09/2021,26/07/2021,Completed,No longer recruiting,2015-001609-16,
ISRCTN43811467,,2018 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/29602847 protocol 2020 Results article in https://pubmed.ncbi.nlm.nih.gov/33069301/ results (added 20/10/2020) 2021 Results article in https://pubmed.ncbi.nlm.nih.gov/33841063/ nested study results (added 13/04/2021),01/11/2015,31/10/2019,13/04/2021,Completed,No longer recruiting,,
ISRCTN30704933,,,01/03/2014,31/03/2015,06/04/2016,Completed,No longer recruiting,,
ISRCTN20011041,,2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28093029 results (added 29/01/2019),01/01/2014,02/09/2015,29/01/2019,Completed,No longer recruiting,2013-003460-31,
ISRCTN10630925,,2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28599691 results (added 14/03/2019),30/09/2011,30/06/2013,14/03/2019,Completed,No longer recruiting,,
ISRCTN64202426,,,04/09/2015,11/12/2015,29/03/2016,Completed,No longer recruiting,,
ISRCTN17604865,,2016 Results article in https://www.ncbi.nlm.nih.gov/pubmed/27857944 results 2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28431432 results 2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28198205 results,04/12/2014,05/06/2016,31/07/2018,Completed,No longer recruiting,,
ISRCTN21423535,,2016 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/27393604 protocol (added 05/08/2019),22/02/2016,01/10/2020,08/04/2020,Completed,No longer recruiting,,
ISRCTN32209377,Basic results in https://www.clinicaltrialsregister.eu/ctr-search/trial/2015-001101-14/results (added 17/06/2020),,20/07/2015,30/08/2017,17/06/2020,Completed,No longer recruiting,2015-001101-14,
ISRCTN66950576,Basic results see attached file ISRCTN66950576_BasicResults_20Dec2017.pdf (added 16/01/2018),,01/09/2015,31/12/2016,16/01/2018,Completed,No longer recruiting,,
ISRCTN31681480,,2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/27163253 results,01/01/2001,10/08/2007,11/05/2016,Completed,No longer recruiting,,
ISRCTN12055187,,,01/06/2012,30/05/2015,24/03/2016,Completed,No longer recruiting,,
ISRCTN75342605,,,01/09/2012,15/02/2016,24/03/2016,Completed,No longer recruiting,,
ISRCTN87066351,,2015 Results article in https://www.ncbi.nlm.nih.gov/pubmed/26056174 results 2019 Results article in https://doi.org/10.1093/ckj/sfy080 results 2020 Results article in https://pubmed.ncbi.nlm.nih.gov/32967630/ secondary analysis results in frail patients (added 25/09/2020),31/07/2012,31/12/2018,25/09/2020,Completed,No longer recruiting,,
ISRCTN18152896,,,01/10/2011,01/03/2012,27/04/2018,Completed,No longer recruiting,,
ISRCTN16437731,,2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28347938 results,28/07/2012,07/02/2013,27/04/2018,Completed,No longer recruiting,,
ISRCTN15420143,,,20/09/2015,01/05/2017,21/03/2016,Completed,No longer recruiting,,
ISRCTN16427067,,2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/30170904 results,01/04/2013,31/12/2017,11/12/2018,Completed,No longer recruiting,2013-004355-20,NCT02286063
ISRCTN17063005,,,17/09/2015,31/12/2020,22/03/2016,Completed,No longer recruiting,,
ISRCTN14292000,,2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28193617 results,18/02/2016,30/09/2016,10/07/2018,Completed,No longer recruiting,,
ISRCTN11656280,,2016 Results article in https://www.ncbi.nlm.nih.gov/pubmed/27424661 results,19/10/2009,06/09/2010,27/04/2018,Completed,No longer recruiting,,
ISRCTN11455062,,2017 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/28630086 protocol 2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/31161388 results (added 05/06/2019),15/02/2016,31/10/2017,05/06/2019,Completed,No longer recruiting,,
ISRCTN40935649,,,01/01/2016,30/12/2017,07/01/2019,Stopped,Stopped,,
ISRCTN40384680,,,03/03/2016,31/05/2018,22/12/2020,Completed,No longer recruiting,,
ISRCTN64390461,,2020 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/32152156 protocol (added 11/03/2020),19/08/2015,06/05/2020,12/08/2021,Completed,No longer recruiting,Nil known,Nil known
ISRCTN92825709,,2018 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/29374679 protocol 2021 Results article in https://online.boneandjoint.org.uk/doi/full/10.1302/0301-620X.103B.BJJ-2020-1404.R1 results (added 07/01/2021),01/01/2016,18/09/2019,23/09/2021,Completed,No longer recruiting,,
ISRCTN13142685,,2016 Results article in https://www.ncbi.nlm.nih.gov/pubmed/27038788 results,01/06/2010,30/06/2015,15/11/2016,Completed,No longer recruiting,,
ISRCTN14164814,,2017 Results article in https://doi.org/10.2319/022416-159.1 (added 12/01/2022),01/05/2014,01/04/2016,12/01/2022,Completed,No longer recruiting,,
ISRCTN35709311,,,01/12/2014,05/12/2016,12/10/2017,Completed,No longer recruiting,,
ISRCTN12562576,Basic results see attached file ISRCTN12562576_BasicResults_20Dec17.docx (added 26/01/2018),,11/02/2016,31/12/2016,26/01/2018,Completed,No longer recruiting,,
ISRCTN17781274,,,24/02/2012,14/01/2014,16/03/2016,Completed,No longer recruiting,,
ISRCTN80694386,,2020 Results article in https://doi.org/10.1111/1471-0528.16290 results (added 20/05/2020),01/04/2016,30/09/2017,20/05/2020,Completed,No longer recruiting,,
ISRCTN17382522,,,13/09/2011,18/01/2013,16/03/2016,Completed,No longer recruiting,,
ISRCTN58259979,,2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28351829 results 2021 Results article in https://pubmed.ncbi.nlm.nih.gov/32773602/ (added 21/05/2021),01/11/2015,30/12/2018,21/05/2021,Completed,No longer recruiting,,
ISRCTN58093412,,2017 Protocol article in https://pubmed.ncbi.nlm.nih.gov/28477624/ protocol (added 30/11/2020),07/01/2015,29/11/2016,30/11/2020,Completed,No longer recruiting,,
ISRCTN82856726,,,26/02/2016,01/08/2018,12/02/2020,Stopped,No longer recruiting,,
ISRCTN16597283,,,16/06/2003,30/03/2004,11/03/2016,Completed,No longer recruiting,,
ISRCTN25216339,,2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/30541439 results (added 19/08/2019),15/11/2015,15/09/2016,19/08/2019,Completed,No longer recruiting,,
ISRCTN12987051,,,01/04/2013,29/02/2016,11/03/2016,Completed,No longer recruiting,,
ISRCTN40400582,,2016 Protocol article in https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4989119/ protocol (added 03/05/2019),17/11/2014,17/11/2017,03/05/2019,Completed,No longer recruiting,,
ISRCTN32844180,,,01/12/2011,31/07/2016,10/07/2017,Completed,No longer recruiting,,
ISRCTN11186205,,,06/10/2015,31/08/2017,18/10/2017,Completed,No longer recruiting,2014-003112-36,
ISRCTN68472863,,,01/03/2016,31/03/2017,12/08/2019,Stopped,Stopped,,
ISRCTN25378536,,2018 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/30241574 protocol 2022 Results article in https://pubmed.ncbi.nlm.nih.gov/35305746/ (added 21/03/2022),01/02/2016,30/07/2019,21/03/2022,Completed,No longer recruiting,,
ISRCTN17698102,,,30/11/2015,30/04/2021,04/05/2021,Completed,No longer recruiting,,NCT01561651
ISRCTN27386984,,,05/01/2014,01/02/2017,20/04/2016,Completed,No longer recruiting,,
ISRCTN87845776,Basic results in https://www.clinicaltrialsregister.eu/ctr-search/trial/2014-004249-29/results (added 21/06/2019),,01/12/2014,31/08/2016,21/06/2019,Completed,No longer recruiting,2014-004249-29,
ISRCTN57997252,,,25/09/2014,28/02/2017,14/06/2016,Completed,No longer recruiting,,
ISRCTN15837754,,2018 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/29727479 protocol (added 11/07/2019),01/03/2016,31/07/2020,11/07/2019,Completed,No longer recruiting,2015-002013-29,
ISRCTN49793874,,,01/04/2016,30/06/2021,10/11/2020,Completed,No longer recruiting,2014-005390-36,
ISRCTN16290169,,,31/03/2016,30/09/2020,09/03/2021,Completed,No longer recruiting,,
ISRCTN13751862,,2019 Results article in https://pubmed.ncbi.nlm.nih.gov/31295041/ results (added 11/06/2020),01/03/2016,01/04/2022,14/12/2021,Completed,No longer recruiting,2015-003422-14,
ISRCTN52040363,,2018 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/29439711 protocol 2020 Results article in https://www.ncbi.nlm.nih.gov/pubmed/32370822 results (added 11/05/2020),01/10/2016,30/09/2020,11/05/2020,Stopped,Stopped,,
ISRCTN16558614,,,25/11/2014,30/11/2017,09/03/2016,Completed,No longer recruiting,,
ISRCTN93644888,,2021 Results article in https://pubmed.ncbi.nlm.nih.gov/34363766/ (added 09/08/2021),01/01/2016,31/12/2019,09/08/2021,Completed,No longer recruiting,,
ISRCTN90762146,,2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/30298035 results,01/03/2015,30/10/2016,10/10/2018,Completed,No longer recruiting,,
ISRCTN56402432,,2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/27619015 results,12/09/2011,02/09/2015,14/09/2016,Completed,No longer recruiting,,
ISRCTN64013828,,,15/01/2015,29/10/2015,25/09/2017,Completed,No longer recruiting,,
ISRCTN48112900,,,06/11/2002,15/04/2004,08/03/2016,Completed,No longer recruiting,,
ISRCTN10007426,,,24/03/2003,18/03/2004,08/03/2016,Completed,No longer recruiting,,
ISRCTN12360747,,,01/03/2010,30/07/2010,07/03/2016,Completed,No longer recruiting,,
ISRCTN27154312,,,01/01/2014,05/01/2016,04/03/2016,Completed,No longer recruiting,,
ISRCTN12727868,,2016 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/27938375 protocol 2017 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/29258591 cost-benefit and extended cost-effectiveness study protocol 2020 Results article in https://pubmed.ncbi.nlm.nih.gov/32677930/ results (added 20/07/2020) 2021 Results article in https://pubmed.ncbi.nlm.nih.gov/34243752/ (added 12/07/2021),01/01/2013,31/12/2020,12/07/2021,Completed,No longer recruiting,,NCT02709967
ISRCTN78138190,,2016 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/27737686 protocol,01/07/2015,01/11/2017,29/04/2019,Stopped,Stopped,,
ISRCTN49955056,,,01/01/2015,30/10/2017,18/10/2017,Completed,No longer recruiting,,
ISRCTN29322231,,2017 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/28476154 protocol 2020 Results article in https://www.ncbi.nlm.nih.gov/pubmed/32183783 results (added 03/04/2020),01/11/2011,30/09/2018,03/04/2020,Completed,No longer recruiting,,
ISRCTN14852234,,,01/03/2016,01/03/2017,18/10/2017,Completed,No longer recruiting,,
ISRCTN54708653,,2022 Results article in https://pubmed.ncbi.nlm.nih.gov/34601597/ (added 25/03/2022),02/12/2015,31/12/2018,25/03/2022,Completed,No longer recruiting,,
ISRCTN13579789,,2016 Results article in https://pubmed.ncbi.nlm.nih.gov/27068368/ results,05/10/2011,13/02/2013,12/04/2016,Completed,No longer recruiting,,
ISRCTN18166185,Basic results in https://www.clinicaltrialsregister.eu/ctr-search/trial/2015-002955-85/results (added 21/06/2019),,01/10/2015,30/09/2016,21/06/2019,Completed,No longer recruiting,2015-002955-85,
ISRCTN51756760,Basic results see attached file ISRCTN51756760_BasicResults_02Mar20.pdf (added 02/03/2020),,01/02/2016,31/12/2018,02/03/2020,Completed,No longer recruiting,,
ISRCTN23995324,,2021 Results article in https://pubmed.ncbi.nlm.nih.gov/33545441/ (added 25/06/2021),01/06/2009,30/09/2012,25/06/2021,Completed,No longer recruiting,,
ISRCTN99092313,,2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28276086 results,28/12/2015,17/08/2017,11/09/2018,Completed,No longer recruiting,,
ISRCTN29932826,,"2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28218555 results 2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28218553 results 2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28218556 results 2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28218557 results 2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28218552 results 2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28218554 results 2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28218558 results 2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28218561 results 2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28218559 results 2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28218551 results 2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/27778528 results 2020 Other publications in https://pubmed.ncbi.nlm.nih.gov/33367600/ analysis of baseline morphology (added 29/12/2020) 2021 Results article in https://pubmed.ncbi.nlm.nih.gov/34476476/ comparison of dental arch relationships and dental indices at 5, 8, and 10 years (added 06/09/2021)",01/09/1997,01/09/2024,06/09/2021,Ongoing,No longer recruiting,,
ISRCTN64300560,,,01/04/2016,30/09/2016,02/03/2016,Completed,No longer recruiting,,
ISRCTN15566373,Basic results in https://clinicaltrials.servier.com/wp-content/uploads/CL1-095005-001-anonymisedsynopsis-2021.02.19.pdf.pdf (added 17/05/2021),,14/12/2015,09/04/2020,23/06/2021,Completed,No longer recruiting,2015-004894-34,NCT02848443
ISRCTN18285541,,,01/03/2016,01/03/2019,19/03/2018,Stopped,Stopped,,
ISRCTN16213898,,,01/03/2013,01/12/2016,01/03/2016,Completed,No longer recruiting,,
ISRCTN32748291,,2016 Results article in https://pubmed.ncbi.nlm.nih.gov/27642359/ results (added 29/05/2020),01/02/2013,20/01/2015,29/05/2020,Completed,No longer recruiting,,
ISRCTN63015230,,2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/29222890 results (added 24/01/2019),01/01/2014,01/02/2016,24/01/2019,Completed,No longer recruiting,,
ISRCTN66508384,,2017 Results article in https://pubmed.ncbi.nlm.nih.gov/29071116/ results (added 30/11/2020),10/01/2014,01/06/2014,30/11/2020,Completed,No longer recruiting,,
ISRCTN24436134,,2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/30553693 results,04/06/2015,31/12/2015,17/12/2018,Completed,No longer recruiting,,
ISRCTN13601567,,2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/30606197 results 2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/31442241 results (added 27/08/2019),01/02/2015,01/02/2021,16/02/2021,Completed,No longer recruiting,,
ISRCTN16387615,,2017 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/28651526 protocol,01/05/2016,25/07/2022,11/02/2022,Ongoing,No longer recruiting,2016-001637-27,NCT03004521
ISRCTN75534069,,2016 Results article in https://doi.org/10.1007/978-3-319-48308-5_64 results (added 23/01/2019),01/09/2015,30/11/2015,23/01/2019,Completed,No longer recruiting,,
ISRCTN71109104,,2017 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/28279200 protocol,01/01/2015,22/08/2016,13/03/2017,Completed,No longer recruiting,,
ISRCTN12608780,,2018 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/30775262 protocol (added 18/06/2019),01/09/2015,30/06/2020,06/08/2021,Completed,No longer recruiting,,
ISRCTN13716228,,2018 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/30775261 protocol (added 05/06/2019),01/09/2015,15/06/2019,12/03/2021,Completed,No longer recruiting,,
ISRCTN81412545,,,01/05/2014,01/05/2016,26/02/2016,Completed,No longer recruiting,,
ISRCTN10261528,,,01/12/2015,31/12/2016,09/03/2016,Completed,No longer recruiting,,
ISRCTN14896403,,2016 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/26993471 protocol 2017 Results article in http://www.ncbi.nlm.nih.gov/pubmed/28375591 results,21/05/2014,01/08/2016,05/04/2017,Completed,No longer recruiting,,
ISRCTN48132950,,2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28422556 results,01/04/2014,06/03/2015,25/05/2018,Completed,No longer recruiting,,
ISRCTN15890967,,,01/01/2016,01/09/2017,04/10/2018,Stopped,Stopped,,
ISRCTN11005234,,2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/29568206 results,26/01/2016,30/06/2016,28/03/2019,Completed,No longer recruiting,,
ISRCTN95909211,,2016 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/27756268 protocol 2020 Results article in https://pubmed.ncbi.nlm.nih.gov/32847622/ Process evaluation (added 02/09/2020) 2021 Results article in https://pubmed.ncbi.nlm.nih.gov/34762673/ (added 12/11/2021),01/12/2015,30/04/2019,12/11/2021,Completed,No longer recruiting,,
ISRCTN16363154,,,10/12/2012,30/10/2015,25/09/2017,Completed,No longer recruiting,,
ISRCTN48328178,,,01/01/2016,28/02/2022,07/08/2020,Completed,No longer recruiting,2016-000775-24,Nil known
ISRCTN63794639,,2016 Results article in https://www.ncbi.nlm.nih.gov/pubmed/27026938 results (added 02/04/2020),12/02/2002,31/12/2018,02/04/2020,Completed,No longer recruiting,,
ISRCTN14385822,,Funder report results in https://educationendowmentfoundation.org.uk/public/files/Projects/Evaluation_Reports/EEF_Project_Report_Magic_Breakfast.pdf results,01/02/2014,01/12/2016,18/05/2017,Completed,No longer recruiting,,
ISRCTN78426775,,2018 Results article in http://www.ncbi.nlm.nih.gov/pubmed/27657351 results,01/06/2008,01/06/2010,23/09/2016,Completed,No longer recruiting,,
ISRCTN95262434,,,15/03/2012,31/05/2016,22/02/2016,Completed,No longer recruiting,,
ISRCTN13463507,,2015 Other publications in http://www.tandfonline.com/doi/abs/10.1080/15710882.2014.997744 intervention design 2016 Results article in https://www.ncbi.nlm.nih.gov/pubmed/27518188 results,10/09/2012,31/03/2016,07/04/2017,Completed,No longer recruiting,,
ISRCTN16510888,,2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/27539960 results,01/09/2014,13/05/2016,22/08/2016,Completed,No longer recruiting,,
ISRCTN13262303,,,01/01/2014,05/09/2014,22/02/2016,Completed,No longer recruiting,,
ISRCTN86435545,,,01/01/2016,30/06/2017,18/02/2016,Completed,No longer recruiting,,
ISRCTN15529655,Basic results see attached file ISRCTN15529655_BasicResults_12Mar2019.pdf,2020 Results article in https://pubmed.ncbi.nlm.nih.gov/33192634/ results (added 17/11/2020),01/04/2016,30/03/2018,17/11/2020,Completed,No longer recruiting,2015-004106-42,
ISRCTN15622505,,2018 Protocol article in https://pubmed.ncbi.nlm.nih.gov/29383331/ protocol 2021 Results article in https://pubmed.ncbi.nlm.nih.gov/33954839/ (added 06/07/2021),01/12/2016,28/02/2020,06/07/2021,Completed,No longer recruiting,Nil known,Nil known
ISRCTN84979645,,2016 Results article in https://www.ncbi.nlm.nih.gov/pubmed/27803937 results,30/07/2015,30/12/2015,31/07/2018,Completed,No longer recruiting,,
ISRCTN16103589,,2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26034489 results 2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26848261 results 2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26977135 results,01/01/2012,01/01/2013,16/03/2016,Completed,No longer recruiting,,
ISRCTN76607611,,,01/04/2016,31/05/2019,26/11/2018,Completed,No longer recruiting,,
ISRCTN18399406,,,05/12/2014,01/10/2018,18/01/2019,Completed,No longer recruiting,,
ISRCTN26292510,,2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28084851 results (added 24/01/2019),01/02/2015,15/01/2016,24/01/2019,Completed,No longer recruiting,,
ISRCTN13184012,,,01/03/2016,31/08/2018,19/02/2016,Completed,No longer recruiting,,
ISRCTN15189062,,2020 Results article in https://pubmed.ncbi.nlm.nih.gov/33136353/ results (added 26/01/2021),01/02/2015,31/10/2018,26/01/2021,Completed,No longer recruiting,,
ISRCTN30469893,,,22/06/2015,15/05/2018,15/01/2019,Completed,No longer recruiting,,
ISRCTN13459215,,,01/06/2016,30/09/2016,31/08/2017,Stopped,Stopped,,
ISRCTN15570935,,2018 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/30775263 protocol,01/09/2015,31/08/2018,09/07/2019,Completed,No longer recruiting,,
ISRCTN81339386,,2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/29724512 results,26/11/2012,01/01/2018,02/11/2018,Completed,No longer recruiting,,
ISRCTN16951765,,,01/07/2016,20/12/2020,16/03/2020,Completed,No longer recruiting,2015-003720-32,
ISRCTN27491960,Basic results see attached file ISRCTN27491960_BasicResults_19Oct18.pdf (added 19/10/2018),2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/30406009 results,01/01/2014,30/06/2017,21/11/2018,Completed,No longer recruiting,,
